worm_id,total_frames,total_seconds,death_day
cam034_w1,630716,1892148,21.89986111111111
cam034_w2,638276,1914828,22.16236111111111
cam034_w4,644756,1934268,22.38736111111111
cam034_w5,649076,1947228,22.53736111111111
cam035_w1,649076,1947228,22.53736111111111
cam035_w5,677156,2031468,23.51236111111111
cam036_w1,632876,1898628,21.97486111111111
cam036_w2,643676,1931028,22.34986111111111
cam036_w3,639356,1918068,22.19986111111111
cam036_w6,657716,1973148,22.83736111111111
cam037_w1,651236,1953708,22.61236111111111
cam037_w2,646916,1940748,22.46236111111111
cam037_w3,647996,1943988,22.499861111111112
cam037_w5,666356,1999068,23.13736111111111
cam037_w6,641516,1924548,22.27486111111111
cam228_w1,631796,1895388,21.937361111111112
cam228_w2,615596,1846788,21.374861111111112
cam228_w3,620996,1862988,21.562361111111112
cam228_w6,620996,1862988,21.562361111111112
cam229_w1,644756,1934268,22.38736111111111
cam231_w1,555106,1665318,19.27451388888889
cam231_w5,584266,1752798,20.28701388888889
cam236_w1,639346,1918038,22.199513888888887
cam236_w2,624226,1872678,21.67451388888889
cam236_w3,578866,1736598,20.09951388888889
cam236_w6,569146,1707438,19.762013888888887
cam241_w1,667426,2002278,23.17451388888889
cam241_w2,609106,1827318,21.14951388888889
cam241_w3,597226,1791678,20.73701388888889
cam241_w4,651226,1953678,22.61201388888889
cam241_w6,604786,1814358,20.999513888888888
cam245_w1,735345,2206035,25.5328125
cam245_w3,698756,2096268,24.26236111111111
cam245_w4,623156,1869468,21.63736111111111
cam245_w6,627476,1882428,21.78736111111111
cam302_w1,707396,2122188,24.562361111111112
cam302_w2,638276,1914828,22.16236111111111
cam302_w3,642596,1927788,22.312361111111112
cam302_w4,619916,1859748,21.52486111111111
cam302_w5,650156,1950468,22.57486111111111
cam302_w6,663116,1989348,23.02486111111111
cam304_w1,620996,1862988,21.562361111111112
cam304_w2,650156,1950468,22.57486111111111
cam304_w4,632876,1898628,21.97486111111111
cam304_w6,643676,1931028,22.34986111111111
cam306_w1,618826,1856478,21.48701388888889
cam306_w2,650156,1950468,22.57486111111111
cam306_w4,631796,1895388,21.937361111111112
cam306_w5,625316,1875948,21.71236111111111
cam306_w6,642596,1927788,22.312361111111112
cam307_w1,575636,1726908,19.98736111111111
cam307_w2,649076,1947228,22.53736111111111
cam307_w3,680396,2041188,23.624861111111112
cam307_w4,646916,1940748,22.46236111111111
cam308_w2,664196,1992588,23.062361111111112
cam308_w3,657716,1973148,22.83736111111111
cam308_w4,646916,1940748,22.46236111111111
cam308_w5,628556,1885668,21.82486111111111
cam308_w6,665276,1995828,23.09986111111111
cam309_w1,649076,1947228,22.53736111111111
cam309_w2,623156,1869468,21.63736111111111
cam309_w3,640436,1921308,22.23736111111111
cam309_w4,636116,1908348,22.08736111111111
cam309_w5,638276,1914828,22.16236111111111
cam309_w6,619916,1859748,21.52486111111111
cam516_w1,629636,1888908,21.86236111111111
cam516_w3,610186,1830558,21.187013888888888
cam516_w4,636116,1908348,22.08736111111111
cam516_w5,601556,1804668,20.88736111111111
cam537_w1,667436,2002308,23.17486111111111
cam537_w2,652316,1956948,22.64986111111111
cam537_w3,646916,1940748,22.46236111111111
cam537_w5,664196,1992588,23.062361111111112
