worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_1_frames,stage_2_frames,stage_3_frames,stage_1_prop,stage_2_prop,stage_3_prop,stage_1_3_frames,death_day
cam034_w1,034,1,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,75596,113400,83160,0.11985743187107985,0.17979566080454595,0.13185015125666702,272156,21.89986111111111
cam034_w2,034,2,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,75596,117720,82080,0.11843779180166573,0.1844343199493636,0.12859640657019847,275396,22.16236111111111
cam034_w4,034,4,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,75596,118800,88560,0.11724745485113748,0.18425574946181192,0.13735428596244162,282956,22.38736111111111
cam034_w5,034,5,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,75596,119880,88560,0.11646710092500724,0.18469331788573295,0.1364401087083793,284036,22.53736111111111
cam035_w1,035,1,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,75596,120960,86400,0.11646710092500724,0.18635722165046928,0.13311230117890663,282956,22.53736111111111
cam035_w5,035,5,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,86396,129600,87480,0.12758655317238568,0.19138869034609454,0.12918736598361383,303476,23.51236111111111
cam036_w1,036,1,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,64796,124200,86400,0.10238340528002327,0.1962469741307934,0.13651963417794324,275396,21.97486111111111
cam036_w2,036,2,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,75596,120960,83160,0.11744417999117568,0.18792063087640365,0.1291954337275275,279716,22.34986111111111
cam036_w3,036,3,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,75596,124200,86400,0.11823772671250446,0.19425797208440992,0.1351359805804591,286196,22.19986111111111
cam036_w6,036,6,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,97196,114480,84240,0.14777806834560814,0.17405688777527079,0.1280795966648219,295916,22.83736111111111
cam037_w1,037,1,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,86396,115560,90720,0.13266465613080358,0.17744719272276102,0.139304338212261,292676,22.61236111111111
cam037_w2,037,2,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,86396,115560,81000,0.1335505691619932,0.17863215626140025,0.12520945532341138,282956,22.46236111111111
cam037_w3,037,3,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,75596,116640,86400,0.11666121395811085,0.18000111111796988,0.13333415638368137,278636,22.499861111111112
cam037_w5,037,5,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,97196,124200,83160,0.14586197167880233,0.18638685627502416,0.12479815594066836,304556,23.13736111111111
cam037_w6,037,6,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,86396,115560,84240,0.13467473921149278,0.18013580331589546,0.13131395008074623,286196,22.27486111111111
cam228_w1,228,1,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,53996,133920,83160,0.08546429543713477,0.21196715395475754,0.13162476495577685,271076,21.937361111111112
cam228_w2,228,2,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,64796,119880,78840,0.10525734410230086,0.19473810746008746,0.12807100760888634,263516,21.374861111111112
cam228_w3,228,3,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,32396,146880,82080,0.05216780784417291,0.236523262629711,0.13217476441072085,261356,21.562361111111112
cam228_w6,228,6,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,32396,149040,84240,0.05216780784417291,0.2400015459036773,0.13565304768468717,265676,21.562361111111112
cam229_w1,229,1,CAM229_2025-05-08-141115,2025-05-08-141115,SI206_2025-05-08,75596,126360,83160,0.11724745485113748,0.1959811153366545,0.12897902462326832,285116,22.38736111111111
cam231_w1,231,1,CAM231_2025-05-08-115315,2025-05-08-115315,SI206_2025-05-08,10786,113400,83160,0.019430523179356736,0.20428530767096734,0.14980922562537605,207346,19.27451388888889
cam231_w5,231,5,CAM231_2025-05-08-115315,2025-05-08-115315,SI206_2025-05-08,32386,117720,77760,0.05543023212030137,0.20148357083930948,0.13309006514156224,227866,20.28701388888889
cam236_w1,236,1,CAM236_2025-05-08-115327,2025-05-08-115327,SI206_2025-05-08,53986,130680,87480,0.08443941152365073,0.20439636753807797,0.1368273204180522,272146,22.199513888888887
cam236_w2,236,2,CAM236_2025-05-08-115327,2025-05-08-115327,SI206_2025-05-08,53986,122040,91800,0.08648470265576891,0.1955061147725343,0.14706212173155236,267826,21.67451388888889
cam236_w3,236,3,CAM236_2025-05-08-115327,2025-05-08-115327,SI206_2025-05-08,10786,122040,87480,0.01863298241734702,0.21082599427155854,0.1511230578406747,220306,20.09951388888889
cam236_w6,236,6,CAM236_2025-05-08-115327,2025-05-08-115327,SI206_2025-05-08,10786,113400,82080,0.018951200570679578,0.1992458876984113,0.14421607109599294,206266,19.762013888888887
cam241_w1,241,1,CAM241_2025-05-08-115304,2025-05-08-115304,SI206_2025-05-08,64786,154440,89640,0.09706843904792442,0.23139643945546023,0.13430702429932306,308866,23.17451388888889
cam241_w2,241,2,CAM241_2025-05-08-115304,2025-05-08-115304,SI206_2025-05-08,10786,151200,90720,0.017707919475427922,0.24823265572823122,0.14893959343693872,252706,21.14951388888889
cam241_w3,241,3,CAM241_2025-05-08-115304,2025-05-08-115304,SI206_2025-05-08,10786,141480,88560,0.018060164828724804,0.23689524568588777,0.1482855736354412,240826,20.73701388888889
cam241_w4,241,4,CAM241_2025-05-08-115304,2025-05-08-115304,SI206_2025-05-08,10786,193320,85320,0.016562606529837567,0.2968554695297792,0.13101442509973496,289426,22.61201388888889
cam241_w6,241,6,CAM241_2025-05-08-115304,2025-05-08-115304,SI206_2025-05-08,10786,142560,95040,0.017834407542502637,0.23571974218979938,0.1571464947931996,248386,20.999513888888888
cam245_w1,245,1,CAM245_2025-05-08-141101,2025-05-08-141101,SI206_2025-05-08,259196,99360,100440,0.3524821682339582,0.13512024967872224,0.1365889480447953,458996,25.5328125
cam245_w3,245,3,CAM245_2025-05-08-141101,2025-05-08-141101,SI206_2025-05-08,75596,143640,90720,0.1081865486664873,0.20556531893822735,0.1298307277504594,309956,24.26236111111111
cam245_w4,245,4,CAM245_2025-05-08-141101,2025-05-08-141101,SI206_2025-05-08,75596,114480,82080,0.12131151750123564,0.183710018037217,0.13171661670592918,272156,21.63736111111111
cam245_w6,245,6,CAM245_2025-05-08-141101,2025-05-08-141101,SI206_2025-05-08,64796,123120,84240,0.1032645073277703,0.1962146759397969,0.1342521466956505,272156,21.78736111111111
cam302_w1,302,1,CAM302_2025-05-08-122159,2025-05-08-122159,SI206_2025-05-08,107996,143640,89640,0.1526669644725161,0.2030545832885682,0.12671827378158768,341276,24.562361111111112
cam302_w2,302,2,CAM302_2025-05-08-122159,2025-05-08-122159,SI206_2025-05-08,53996,130680,88560,0.0845966321779293,0.20473901572360545,0.1387487544573194,273236,22.16236111111111
cam302_w3,302,3,CAM302_2025-05-08-122159,2025-05-08-122159,SI206_2025-05-08,86396,122040,81000,0.13444839370304204,0.18991714856612865,0.12605120480052787,289436,22.312361111111112
cam302_w4,302,4,CAM302_2025-05-08-122159,2025-05-08-122159,SI206_2025-05-08,53996,117720,88560,0.08710212351350828,0.18989669568135037,0.14285806464101589,260276,21.52486111111111
cam302_w5,302,5,CAM302_2025-05-08-122159,2025-05-08-122159,SI206_2025-05-08,75596,127440,85320,0.11627363278966894,0.1960144949827426,0.1312300432511582,288356,22.57486111111111
cam302_w6,302,6,CAM302_2025-05-08-122159,2025-05-08-122159,SI206_2025-05-08,86396,120960,88560,0.13028791342691173,0.182411523775629,0.13355129419287123,295916,23.02486111111111
cam304_w1,304,1,CAM304_2025-05-08-114024,2025-05-08-114024,SI206_2025-05-08,64796,114480,83160,0.10434205695366798,0.1843490135202159,0.133913906047704,262436,21.562361111111112
cam304_w2,304,2,CAM304_2025-05-08-114024,2025-05-08-114024,SI206_2025-05-08,75596,123120,87480,0.11627363278966894,0.18936993583078524,0.13455232282713686,286196,22.57486111111111
cam304_w4,304,4,CAM304_2025-05-08-114024,2025-05-08-114024,SI206_2025-05-08,75596,122040,79920,0.11944835955226617,0.19283398327634482,0.1262806616145975,277556,21.97486111111111
cam304_w6,304,6,CAM304_2025-05-08-114024,2025-05-08-114024,SI206_2025-05-08,75596,123120,84240,0.11744417999117568,0.191276356427768,0.1308732965032097,282956,22.34986111111111
cam306_w1,306,1,CAM306_2025-05-08-114043,2025-05-08-114043,SI206_2025-05-08,64786,114480,81000,0.10469178735217977,0.18499545914360419,0.13089301354500296,260266,21.48701388888889
cam306_w2,306,2,CAM306_2025-05-08-114043,2025-05-08-114043,SI206_2025-05-08,86396,122040,81000,0.1328850306695624,0.1877087960427959,0.12458548409920081,289436,22.57486111111111
cam306_w4,306,4,CAM306_2025-05-08-114043,2025-05-08-114043,SI206_2025-05-08,64796,124200,85320,0.10255842075606683,0.1965824411677187,0.1350435900195633,274316,21.937361111111112
cam306_w5,306,5,CAM306_2025-05-08-114043,2025-05-08-114043,SI206_2025-05-08,10796,164160,86400,0.017264870881282424,0.2625232682355801,0.1381701411766211,261356,21.71236111111111
cam306_w6,306,6,CAM306_2025-05-08-114043,2025-05-08-114043,SI206_2025-05-08,97196,102600,83160,0.1512552210097791,0.15966485941400196,0.12941257026187528,282956,22.312361111111112
cam307_w1,307,1,CAM307_2025-05-08-122128,2025-05-08-122128,SI206_2025-05-08,10796,106920,92880,0.018754907615229067,0.18574237886442127,0.16135196547818412,210596,19.98736111111111
cam307_w2,307,2,CAM307_2025-05-08-122128,2025-05-08-122128,SI206_2025-05-08,64796,123120,90720,0.09982806327764392,0.18968502917994196,0.13976791623785195,278636,22.53736111111111
cam307_w3,307,3,CAM307_2025-05-08-122128,2025-05-08-122128,SI206_2025-05-08,10796,206280,95040,0.015867230260025043,0.3031763855166697,0.13968336086631902,312116,23.624861111111112
cam307_w4,307,4,CAM307_2025-05-08-122128,2025-05-08-122128,SI206_2025-05-08,75596,119880,87480,0.11685597511887169,0.18530999387864885,0.1352262117492843,282956,22.46236111111111
cam308_w2,308,2,CAM308_2025-05-08-114056,2025-05-08-114056,SI206_2025-05-08,97196,112320,82080,0.14633632241085462,0.1691067094652783,0.12357797999385724,291596,23.062361111111112
cam308_w3,308,3,CAM308_2025-05-08-114056,2025-05-08-114056,SI206_2025-05-08,86396,123120,86400,0.13135760723473353,0.18719325666397046,0.13136368888699682,295916,22.83736111111111
cam308_w4,308,4,CAM308_2025-05-08-114056,2025-05-08-114056,SI206_2025-05-08,75596,119880,87480,0.11685597511887169,0.18530999387864885,0.1352262117492843,282956,22.46236111111111
cam308_w5,308,5,CAM308_2025-05-08-114056,2025-05-08-114056,SI206_2025-05-08,43196,116640,92880,0.06872259591826345,0.185568191219239,0.14776726337828291,252716,21.82486111111111
cam308_w6,308,6,CAM308_2025-05-08-114056,2025-05-08-114056,SI206_2025-05-08,86396,127440,86400,0.12986489817759847,0.1915595933116481,0.12987091071976142,300236,23.09986111111111
cam309_w1,309,1,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,75596,122040,86400,0.11646710092500724,0.1880211254152056,0.13311230117890663,284036,22.53736111111111
cam309_w2,309,2,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,64796,117720,82080,0.1039803837241397,0.1889093581703458,0.13171661670592918,264596,21.63736111111111
cam309_w3,309,3,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,75596,117720,85320,0.11803833638333885,0.18381227788569038,0.13322174268779394,278636,22.23736111111111
cam309_w4,309,4,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,75596,117720,82080,0.11883996000729427,0.18506058643392087,0.129033069440165,275396,22.08736111111111
cam309_w5,309,5,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,75596,118800,88560,0.11843779180166573,0.18612637793055042,0.1387487544573194,282956,22.16236111111111
cam309_w6,309,6,CAM309_2025-05-08-114626,2025-05-08-114626,SI206_2025-05-08,53996,118800,84240,0.08710212351350828,0.19163886720136278,0.13588937856096633,257036,21.52486111111111
cam516_w1,516,1,CAM516_2025-05-08-122149,2025-05-08-122149,SI206_2025-05-08,75596,118800,85320,0.12006302053885101,0.1886804439390378,0.1355068642834908,279716,21.86236111111111
cam516_w3,516,3,CAM516_2025-05-08-122149,2025-05-08-122149,SI206_2025-05-08,53986,119880,82080,0.0884746618244273,0.19646468453881274,0.13451636058513305,255946,21.187013888888888
cam516_w4,516,4,CAM516_2025-05-08-122149,2025-05-08-122149,SI206_2025-05-08,86396,117720,78840,0.13581799545994755,0.18506058643392087,0.12393965880436901,282956,22.08736111111111
cam516_w5,516,5,CAM516_2025-05-08-122149,2025-05-08-122149,SI206_2025-05-08,43196,119880,82080,0.071807113552188,0.19928319225475266,0.13644614965190274,245156,20.88736111111111
cam537_w1,537,1,CAM537_2025-05-08-120219,2025-05-08-120219,SI206_2025-05-08,86396,128520,89640,0.12944462090747277,0.19255778831228762,0.13430501201613337,304556,23.17486111111111
