worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_file,speed_row_index
cam034_w1,034,1,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,coordCAM034-w1CAM034_2025-05-08-121710-stages.mat,1
cam034_w2,034,2,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,coordCAM034-w2CAM034_2025-05-08-121710-stages.mat,2
cam034_w4,034,4,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,coordCAM034-w4CAM034_2025-05-08-121710-stages.mat,3
cam034_w5,034,5,CAM034_2025-05-08-121710,2025-05-08-121710,SI206_2025-05-08,coordCAM034-w5CAM034_2025-05-08-121710-stages.mat,4
cam035_w1,035,1,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,coordCAM035-w1CAM035_2025-05-08-121725-stages.mat,5
cam035_w5,035,5,CAM035_2025-05-08-121725,2025-05-08-121725,SI206_2025-05-08,coordCAM035-w5CAM035_2025-05-08-121725-stages.mat,6
cam036_w1,036,1,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,coordCAM036-w1CAM036_2025-05-08-114558-stages.mat,7
cam036_w2,036,2,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,coordCAM036-w2CAM036_2025-05-08-114558-stages.mat,8
cam036_w3,036,3,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,coordCAM036-w3CAM036_2025-05-08-114558-stages.mat,9
cam036_w6,036,6,CAM036_2025-05-08-114558,2025-05-08-114558,SI206_2025-05-08,coordCAM036-w6CAM036_2025-05-08-114558-stages.mat,10
cam037_w1,037,1,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,coordCAM037-w1CAM037_2025-05-08-121357-stages.mat,11
cam037_w2,037,2,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,coordCAM037-w2CAM037_2025-05-08-121357-stages.mat,12
cam037_w3,037,3,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,coordCAM037-w3CAM037_2025-05-08-121357-stages.mat,13
cam037_w5,037,5,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,coordCAM037-w5CAM037_2025-05-08-121357-stages.mat,14
cam037_w6,037,6,CAM037_2025-05-08-121357,2025-05-08-121357,SI206_2025-05-08,coordCAM037-w6CAM037_2025-05-08-121357-stages.mat,15
cam228_w1,228,1,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,coordCAM228-w1CAM228_2025-05-08-141050-stages.mat,16
cam228_w2,228,2,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,coordCAM228-w2CAM228_2025-05-08-141050-stages.mat,17
cam228_w3,228,3,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,coordCAM228-w3CAM228_2025-05-08-141050-stages.mat,18
cam228_w6,228,6,CAM228_2025-05-08-141050,2025-05-08-141050,SI206_2025-05-08,coordCAM228-w6CAM228_2025-05-08-141050-stages.mat,19
cam229_w1,229,1,CAM229_2025-05-08-141115,2025-05-08-141115,SI206_2025-05-08,coordCAM229-w1CAM229_2025-05-08-141115-stages.mat,20
cam231_w1,231,1,CAM231_2025-05-08-115315,2025-05-08-115315,SI206_2025-05-08,coordCAM231-w1CAM231_2025-05-08-115315-stages.mat,21
cam231_w5,231,5,CAM231_2025-05-08-115315,2025-05-08-115315,SI206_2025-05-08,coordCAM231-w5CAM231_2025-05-08-115315-stages.mat,22
cam236_w1,236,1,CAM236_2025-05-08-115327,2025-05-08-115327,SI206_2025-05-08,coordCAM236-w1CAM236_2025-05-08-115327-stages.mat,23
cam236_w2,236,2,CAM236_2025-05-08-115327,2025-05-08-115327,SI206_2025-05-08,coordCAM236-w2CAM236_2025-05-08-115327-stages.mat,24
cam236_w3,236,3,CAM236_2025-05-08-115327,2025-05-08-115327,SI206_2025-05-08,coordCAM236-w3CAM236_2025-05-08-115327-stages.mat,25
cam236_w6,236,6,CAM236_2025-05-08-115327,2025-05-08-115327,SI206_2025-05-08,coordCAM236-w6CAM236_2025-05-08-115327-stages.mat,26
cam241_w1,241,1,CAM241_2025-05-08-115304,2025-05-08-115304,SI206_2025-05-08,coordCAM241-w1CAM241_2025-05-08-115304-stages.mat,27
