worm_id,stage_index,start_frame,end_frame,file_start,source_file
cam034_w1,1,5,75600,5,coordCAM034-w1CAM034_2025-05-08-121710-stages.mat
cam034_w1,2,75601,189000,5,coordCAM034-w1CAM034_2025-05-08-121710-stages.mat
cam034_w1,3,189001,272160,5,coordCAM034-w1CAM034_2025-05-08-121710-stages.mat
cam034_w1,4,272161,354240,5,coordCAM034-w1CAM034_2025-05-08-121710-stages.mat
cam034_w1,5,354241,457920,5,coordCAM034-w1CAM034_2025-05-08-121710-stages.mat
cam034_w1,6,457921,630720,5,coordCAM034-w1CAM034_2025-05-08-121710-stages.mat
cam034_w2,1,5,75600,5,coordCAM034-w2CAM034_2025-05-08-121710-stages.mat
cam034_w2,2,75601,193320,5,coordCAM034-w2CAM034_2025-05-08-121710-stages.mat
cam034_w2,3,193321,275400,5,coordCAM034-w2CAM034_2025-05-08-121710-stages.mat
cam034_w2,4,275401,360720,5,coordCAM034-w2CAM034_2025-05-08-121710-stages.mat
cam034_w2,5,360721,465480,5,coordCAM034-w2CAM034_2025-05-08-121710-stages.mat
cam034_w2,6,465481,638280,5,coordCAM034-w2CAM034_2025-05-08-121710-stages.mat
cam034_w4,1,5,75600,5,coordCAM034-w4CAM034_2025-05-08-121710-stages.mat
cam034_w4,2,75601,194400,5,coordCAM034-w4CAM034_2025-05-08-121710-stages.mat
cam034_w4,3,194401,282960,5,coordCAM034-w4CAM034_2025-05-08-121710-stages.mat
cam034_w4,4,282961,371520,5,coordCAM034-w4CAM034_2025-05-08-121710-stages.mat
cam034_w4,5,371521,471960,5,coordCAM034-w4CAM034_2025-05-08-121710-stages.mat
cam034_w4,6,471961,644760,5,coordCAM034-w4CAM034_2025-05-08-121710-stages.mat
cam034_w5,1,5,75600,5,coordCAM034-w5CAM034_2025-05-08-121710-stages.mat
cam034_w5,2,75601,195480,5,coordCAM034-w5CAM034_2025-05-08-121710-stages.mat
cam034_w5,3,195481,284040,5,coordCAM034-w5CAM034_2025-05-08-121710-stages.mat
cam034_w5,4,284041,371520,5,coordCAM034-w5CAM034_2025-05-08-121710-stages.mat
cam034_w5,5,371521,476280,5,coordCAM034-w5CAM034_2025-05-08-121710-stages.mat
cam034_w5,6,476281,649080,5,coordCAM034-w5CAM034_2025-05-08-121710-stages.mat
cam035_w1,1,5,75600,5,coordCAM035-w1CAM035_2025-05-08-121725-stages.mat
cam035_w1,2,75601,196560,5,coordCAM035-w1CAM035_2025-05-08-121725-stages.mat
cam035_w1,3,196561,282960,5,coordCAM035-w1CAM035_2025-05-08-121725-stages.mat
cam035_w1,4,282961,371520,5,coordCAM035-w1CAM035_2025-05-08-121725-stages.mat
cam035_w1,5,371521,476280,5,coordCAM035-w1CAM035_2025-05-08-121725-stages.mat
cam035_w1,6,476281,649080,5,coordCAM035-w1CAM035_2025-05-08-121725-stages.mat
cam035_w5,1,5,86400,5,coordCAM035-w5CAM035_2025-05-08-121725-stages.mat
cam035_w5,2,86401,216000,5,coordCAM035-w5CAM035_2025-05-08-121725-stages.mat
cam035_w5,3,216001,303480,5,coordCAM035-w5CAM035_2025-05-08-121725-stages.mat
cam035_w5,4,303481,394200,5,coordCAM035-w5CAM035_2025-05-08-121725-stages.mat
cam035_w5,5,394201,504360,5,coordCAM035-w5CAM035_2025-05-08-121725-stages.mat
cam035_w5,6,504361,677160,5,coordCAM035-w5CAM035_2025-05-08-121725-stages.mat
cam036_w1,1,5,64800,5,coordCAM036-w1CAM036_2025-05-08-114558-stages.mat
cam036_w1,2,64801,189000,5,coordCAM036-w1CAM036_2025-05-08-114558-stages.mat
cam036_w1,3,189001,275400,5,coordCAM036-w1CAM036_2025-05-08-114558-stages.mat
cam036_w1,4,275401,358560,5,coordCAM036-w1CAM036_2025-05-08-114558-stages.mat
cam036_w1,5,358561,460080,5,coordCAM036-w1CAM036_2025-05-08-114558-stages.mat
cam036_w1,6,460081,632880,5,coordCAM036-w1CAM036_2025-05-08-114558-stages.mat
cam036_w2,1,5,75600,5,coordCAM036-w2CAM036_2025-05-08-114558-stages.mat
cam036_w2,2,75601,196560,5,coordCAM036-w2CAM036_2025-05-08-114558-stages.mat
cam036_w2,3,196561,279720,5,coordCAM036-w2CAM036_2025-05-08-114558-stages.mat
cam036_w2,4,279721,365040,5,coordCAM036-w2CAM036_2025-05-08-114558-stages.mat
cam036_w2,5,365041,470880,5,coordCAM036-w2CAM036_2025-05-08-114558-stages.mat
cam036_w2,6,470881,643680,5,coordCAM036-w2CAM036_2025-05-08-114558-stages.mat
cam036_w3,1,5,75600,5,coordCAM036-w3CAM036_2025-05-08-114558-stages.mat
cam036_w3,2,75601,199800,5,coordCAM036-w3CAM036_2025-05-08-114558-stages.mat
cam036_w3,3,199801,286200,5,coordCAM036-w3CAM036_2025-05-08-114558-stages.mat
cam036_w3,4,286201,358560,5,coordCAM036-w3CAM036_2025-05-08-114558-stages.mat
cam036_w3,5,358561,466560,5,coordCAM036-w3CAM036_2025-05-08-114558-stages.mat
cam036_w3,6,466561,639360,5,coordCAM036-w3CAM036_2025-05-08-114558-stages.mat
cam036_w6,1,5,97200,5,coordCAM036-w6CAM036_2025-05-08-114558-stages.mat
cam036_w6,2,97201,211680,5,coordCAM036-w6CAM036_2025-05-08-114558-stages.mat
cam036_w6,3,211681,295920,5,coordCAM036-w6CAM036_2025-05-08-114558-stages.mat
cam036_w6,4,295921,381240,5,coordCAM036-w6CAM036_2025-05-08-114558-stages.mat
cam036_w6,5,381241,484920,5,coordCAM036-w6CAM036_2025-05-08-114558-stages.mat
cam036_w6,6,484921,657720,5,coordCAM036-w6CAM036_2025-05-08-114558-stages.mat
