worm_id,days_alive
cam034_w2,8.0
cam034_w5,8.0
cam035_w1,14.0
cam035_w5,13.0
cam036_w2,8.0
cam036_w3,10.0
cam036_w6,7.0
cam037_w1,3.0
cam037_w2,11.0
cam037_w3,7.0
cam228_w1,11.0
cam228_w2,10.0
cam228_w3,7.0
cam228_w6,14.0
cam229_w1,9.0
cam231_w1,7.0
cam231_w5,8.0
cam236_w1,13.0
cam236_w2,14.0
cam236_w3,7.0
cam236_w6,8.0
cam241_w1,13.0
cam241_w2,9.0
cam241_w3,7.0
cam241_w4,1.0
cam241_w6,8.0
cam245_w1,7.0
cam245_w4,2.0
cam245_w6,5.0
cam302_w1,14.0
cam302_w2,8.0
cam302_w3,7.0
cam302_w4,13.0
cam302_w5,7.0
cam304_w2,9.0
cam304_w4,8.0
cam304_w6,9.0
cam306_w1,7.0
cam306_w2,7.0
cam306_w4,8.0
cam306_w5,8.0
cam306_w6,14.0
cam307_w1,3.0
cam307_w2,14.0
cam307_w3,8.0
cam308_w2,11.0
cam308_w3,3.0
cam308_w5,8.0
cam309_w1,7.0
cam309_w2,8.0
cam309_w3,8.0
cam309_w4,7.0
cam309_w5,8.0
cam309_w6,13.0
cam516_w1,9.0
cam516_w3,11.0
cam516_w4,11.0
cam516_w5,9.0
cam537_w2,8.0
cam537_w3,4.0
cam537_w5,2.0
