worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_2_frames,stage_3_frames,stage_4_frames,stage_6_frames,total_frames,roam_mean,roam_std,roam_median,roam_p10,roam_p90
cam034_w2,34,2,CAM034_2025-12-04-135853,2025-12-04-135853,SI216_2025-04-12,123120,100440,89640,172800,670676,0.08185741773356273,0.1322916566117099,0.018410041841004185,0.0,0.27865558608211266
cam034_w3,34,3,CAM034_2025-12-04-135853,2025-12-04-135853,SI216_2025-04-12,123120,91800,92880,172800,656626,0.06611952270355204,0.13784657176055226,0.007482993197278911,0.0,0.17968666254380553
cam034_w4,34,4,CAM034_2025-12-04-135853,2025-12-04-135853,SI216_2025-04-12,112320,90720,93960,172800,633946,0.09262105302397977,0.14132419341093494,0.025325119780971937,0.0,0.2675224846356357
cam035_w3,35,3,CAM035_2025-12-04-135906,2025-12-04-135906,SI216_2025-04-12,126360,91800,87480,172800,659866,0.07155100619288011,0.1167471725787991,0.014372822299651568,0.0,0.24413329225248415
cam036_w2,36,2,CAM036_2025-12-04-132659,2025-12-04-132659,SI216_2025-04-12,120960,89640,91800,172800,671756,0.09450638526782046,0.1579160304471069,0.02735562310030395,0.0,0.2469570315028611
cam036_w4,36,4,CAM036_2025-12-04-132659,2025-12-04-132659,SI216_2025-04-12,140400,96120,91800,172800,673916,0.10310761757881728,0.17294677792018756,0.029946524064171122,0.0,0.33880058124196527
cam037_w5,37,5,CAM037_2025-12-04-135837,2025-12-04-135837,SI216_2025-04-12,129600,88560,92880,172800,680396,0.09176459366404163,0.14038615173034416,0.030694668820678513,0.0,0.30327910998377006
cam040_w1,40,1,CAM040_2025-12-04-132455,2025-12-04-132455,SI216_2025-04-12,138240,101520,97200,172800,705236,0.13646323182527687,0.21227457894834853,0.03379224030037547,0.0,0.457298711556499
cam040_w2,40,2,CAM040_2025-12-04-132455,2025-12-04-132455,SI216_2025-04-12,140400,96120,100440,172800,712796,0.11091478014172362,0.17566163813128718,0.029930518439337254,0.0,0.3978874989790638
cam040_w4,40,4,CAM040_2025-12-04-132455,2025-12-04-132455,SI216_2025-04-12,146880,98280,101520,172800,716036,0.1070740891636837,0.16081682607589226,0.03603994789405124,0.0,0.3246619098646677
cam040_w5,40,5,CAM040_2025-12-04-132455,2025-12-04-132455,SI216_2025-04-12,137160,100440,100440,172800,692276,0.15586692183062195,0.20350214389653293,0.05899925317401045,0.0,0.4764770240700223
cam040_w6,40,6,CAM040_2025-12-04-132455,2025-12-04-132455,SI216_2025-04-12,127440,104760,108000,172800,710636,0.11786694378813312,0.17990916025705764,0.028658271819366043,0.0,0.40618353940760754
cam228_w2,228,2,CAM228_2025-12-04-145103,2025-12-04-145103,SI216_2025-04-12,133920,89640,95040,172800,692276,0.07224526123434759,0.13468801070047562,0.009829619921363041,0.0,0.2600955275727313
cam228_w6,228,6,CAM228_2025-12-04-145103,2025-12-04-145103,SI216_2025-04-12,125280,90720,89640,172800,670676,0.0572415052076904,0.13342773186088036,0.005649717514124294,0.0,0.14861380576806332
cam229_w1,229,1,CAM229_2025-12-04-145148,2025-12-04-145148,SI216_2025-04-12,117720,93960,97200,172800,668516,0.12556500386681382,0.19255644765902402,0.03386886669561442,0.0,0.3920968769917145
cam229_w2,229,2,CAM229_2025-12-04-145148,2025-12-04-145148,SI216_2025-04-12,126360,92880,92880,172800,674996,0.1198920752964043,0.1919503267977122,0.024390243902439025,0.0,0.3940005354987107
cam231_w1,231,1,CAM231_2025-12-04-134115,2025-12-04-134115,SI216_2025-04-12,130680,101520,96120,172800,689036,0.08218323031295381,0.16151131976146105,0.007352941176470588,0.0,0.26880385722759237
cam231_w6,231,6,CAM231_2025-12-04-134115,2025-12-04-134115,SI216_2025-04-12,167400,89640,93960,172800,669596,0.07251548464677313,0.15136546166766315,0.0039079461571862786,0.0,0.22658816429564976
cam241_w1,241,1,CAM241_2025-12-04-134142,2025-12-04-134142,SI216_2025-04-12,126360,87480,101520,172800,672836,0.08155629735357853,0.14554929640888425,0.011724137931034483,0.0,0.2521243977222952
cam245_w3,245,3,CAM245_2025-12-04-145116,2025-12-04-145116,SI216_2025-04-12,139320,100440,96120,172800,657706,0.061434998251353796,0.10263446089088134,0.016192560175054705,0.0,0.17417399667708525
cam302_w3,302,3,CAM302_2025-12-04-140405,2025-12-04-140405,SI216_2025-04-12,111240,86400,96120,172800,630716,0.09396428308566719,0.17796870312542856,0.008097165991902834,0.0,0.3393386665442401
cam302_w4,302,4,CAM302_2025-12-04-140405,2025-12-04-140405,SI216_2025-04-12,132840,93960,91800,172800,676076,0.09835557401379477,0.17780818451211786,0.017170891251022075,0.0,0.3687005649717515
cam304_w1,304,1,CAM304_2025-12-04-142235,2025-12-04-142235,SI216_2025-04-12,180360,91800,90720,172800,659876,0.1052276689614146,0.18205070617874242,0.025376344086021504,0.0,0.32917575228957696
cam304_w4,304,4,CAM304_2025-12-04-142235,2025-12-04-142235,SI216_2025-04-12,200880,103680,92880,172800,690116,0.1114645827685913,0.1725473187707375,0.03130841121495327,0.0,0.33430481471262335
cam307_w6,307,6,CAM307_2025-12-04-140319,2025-12-04-140319,SI216_2025-04-12,120960,95040,98280,172800,672836,0.09930859773235158,0.15829834351720484,0.02377179080824089,0.0,0.2939778129952457
