worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_file,excel_worm_number,excel_days_alive
cam034_w2,34,2,CAM034_2025-12-04-135853,2025-12-04-135853,SI216_2025-04-12,coordCAM034-w2CAM034_2025-12-04-135853-stages.mat,14.0,4.0
cam034_w3,34,3,CAM034_2025-12-04-135853,2025-12-04-135853,SI216_2025-04-12,coordCAM034-w3CAM034_2025-12-04-135853-stages.mat,15.0,7.0
cam034_w4,34,4,CAM034_2025-12-04-135853,2025-12-04-135853,SI216_2025-04-12,coordCAM034-w4CAM034_2025-12-04-135853-stages.mat,16.0,7.0
cam035_w3,35,3,CAM035_2025-12-04-135906,2025-12-04-135906,SI216_2025-04-12,coordCAM035-w3CAM035_2025-12-04-135906-stages.mat,3.0,7.0
cam036_w2,36,2,CAM036_2025-12-04-132659,2025-12-04-132659,SI216_2025-04-12,coordCAM036-w2CAM036_2025-12-04-132659-stages.mat,62.0,8.0
cam036_w4,36,4,CAM036_2025-12-04-132659,2025-12-04-132659,SI216_2025-04-12,coordCAM036-w4CAM036_2025-12-04-132659-stages.mat,64.0,6.0
cam037_w5,37,5,CAM037_2025-12-04-135837,2025-12-04-135837,SI216_2025-04-12,coordCAM037-w5CAM037_2025-12-04-135837-stages.mat,29.0,5.0
cam040_w1,40,1,CAM040_2025-12-04-132455,2025-12-04-132455,SI216_2025-04-12,coordCAM040-w1CAM040_2025-12-04-132455-stages.mat,73.0,13.0
cam040_w2,40,2,CAM040_2025-12-04-132455,2025-12-04-132455,SI216_2025-04-12,coordCAM040-w2CAM040_2025-12-04-132455-stages.mat,74.0,13.0
cam040_w4,40,4,CAM040_2025-12-04-132455,2025-12-04-132455,SI216_2025-04-12,coordCAM040-w4CAM040_2025-12-04-132455-stages.mat,76.0,11.0
cam040_w5,40,5,CAM040_2025-12-04-132455,2025-12-04-132455,SI216_2025-04-12,coordCAM040-w5CAM040_2025-12-04-132455-stages.mat,77.0,13.0
cam040_w6,40,6,CAM040_2025-12-04-132455,2025-12-04-132455,SI216_2025-04-12,coordCAM040-w6CAM040_2025-12-04-132455-stages.mat,78.0,11.0
cam228_w2,228,2,CAM228_2025-12-04-145103,2025-12-04-145103,SI216_2025-04-12,coordCAM228-w2CAM228_2025-12-04-145103-stages.mat,128.0,6.0
cam228_w6,228,6,CAM228_2025-12-04-145103,2025-12-04-145103,SI216_2025-04-12,coordCAM228-w6CAM228_2025-12-04-145103-stages.mat,132.0,6.0
cam229_w1,229,1,CAM229_2025-12-04-145148,2025-12-04-145148,SI216_2025-04-12,coordCAM229-w1CAM229_2025-12-04-145148-stages.mat,115.0,9.0
cam229_w2,229,2,CAM229_2025-12-04-145148,2025-12-04-145148,SI216_2025-04-12,coordCAM229-w2CAM229_2025-12-04-145148-stages.mat,116.0,9.0
cam231_w1,231,1,CAM231_2025-12-04-134115,2025-12-04-134115,SI216_2025-04-12,coordCAM231-w1CAM231_2025-12-04-134115-stages.mat,121.0,8.0
cam231_w6,231,6,CAM231_2025-12-04-134115,2025-12-04-134115,SI216_2025-04-12,coordCAM231-w6CAM231_2025-12-04-134115-stages.mat,126.0,6.0
cam241_w1,241,1,CAM241_2025-12-04-134142,2025-12-04-134142,SI216_2025-04-12,coordCAM241-w1CAM241_2025-12-04-134142-stages.mat,133.0,4.0
cam245_w3,245,3,CAM245_2025-12-04-145116,2025-12-04-145116,SI216_2025-04-12,coordCAM245-w3CAM245_2025-12-04-145116-stages.mat,141.0,9.0
cam302_w3,302,3,CAM302_2025-12-04-140405,2025-12-04-140405,SI216_2025-04-12,coordCAM302-w3CAM302_2025-12-04-140405-stages.mat,33.0,6.0
cam302_w4,302,4,CAM302_2025-12-04-140405,2025-12-04-140405,SI216_2025-04-12,coordCAM302-w4CAM302_2025-12-04-140405-stages.mat,34.0,6.0
cam304_w1,304,1,CAM304_2025-12-04-142235,2025-12-04-142235,SI216_2025-04-12,coordCAM304-w1CAM304_2025-12-04-142235-stages.mat,55.0,6.0
cam304_w4,304,4,CAM304_2025-12-04-142235,2025-12-04-142235,SI216_2025-04-12,coordCAM304-w4CAM304_2025-12-04-142235-stages.mat,58.0,3.0
cam307_w6,307,6,CAM307_2025-12-04-140319,2025-12-04-140319,SI216_2025-04-12,coordCAM307-w6CAM307_2025-12-04-140319-stages.mat,12.0,14.0
cam308_w3,308,3,CAM308_2025-12-04-142259,2025-12-04-142259,SI216_2025-04-12,coordCAM308-w3CAM308_2025-12-04-142259-stages.mat,45.0,6.0
cam308_w5,308,5,CAM308_2025-12-04-142259,2025-12-04-142259,SI216_2025-04-12,coordCAM308-w5CAM308_2025-12-04-142259-stages.mat,47.0,11.0
cam309_w1,309,1,CAM309_2025-12-04-132759,2025-12-04-132759,SI216_2025-04-12,coordCAM309-w1CAM309_2025-12-04-132759-stages.mat,67.0,14.0
cam309_w3,309,3,CAM309_2025-12-04-132759,2025-12-04-132759,SI216_2025-04-12,coordCAM309-w3CAM309_2025-12-04-132759-stages.mat,69.0,9.0
cam309_w6,309,6,CAM309_2025-12-04-132759,2025-12-04-132759,SI216_2025-04-12,coordCAM309-w6CAM309_2025-12-04-132759-stages.mat,72.0,6.0
cam516_w5,516,5,CAM516_2025-12-04-140349,2025-12-04-140349,SI216_2025-04-12,coordCAM516-w5CAM516_2025-12-04-140349-stages.mat,23.0,11.0
cam516_w6,516,6,CAM516_2025-12-04-140349,2025-12-04-140349,SI216_2025-04-12,coordCAM516-w6CAM516_2025-12-04-140349-stages.mat,24.0,6.0
cam537_w2,537,2,CAM537_2025-12-04-132736,2025-12-04-132736,SI216_2025-04-12,coordCAM537-w2CAM537_2025-12-04-132736-stages.mat,38.0,6.0
cam537_w3,537,3,CAM537_2025-12-04-132736,2025-12-04-132736,SI216_2025-04-12,coordCAM537-w3CAM537_2025-12-04-132736-stages.mat,39.0,9.0
cam537_w4,537,4,CAM537_2025-12-04-132736,2025-12-04-132736,SI216_2025-04-12,coordCAM537-w4CAM537_2025-12-04-132736-stages.mat,40.0,10.0
cam537_w6,537,6,CAM537_2025-12-04-132736,2025-12-04-132736,SI216_2025-04-12,coordCAM537-w6CAM537_2025-12-04-132736-stages.mat,42.0,9.0
cam787_w1,787,1,CAM787_2025-12-04-125913,2025-12-04-125913,SI216_2025-04-12,coordCAM787-w1CAM787_2025-12-04-125913-stages.mat,103.0,5.0
