"Worm #","Plate","Well","Days alive","valid","Days reproductive","0/1","Unmated"
"1","34","1","5","0","4","1",""
"2","34","2","8","1","2","1",""
"3","34","4","2","0","1","0",""
"4","34","5","8","1","4","1",""
"5","35","1","14","1","4","1",""
"6","35","3","8","0","4","1",""
"7","35","5","13","1","4","1",""
"8","36","1","1","0","1","0",""
"9","36","2","8","1","5","1",""
"10","36","3","10","1","4","1",""
"11","36","6","7","1","2","1",""
"12","37","1","3","1","2","1",""
"13","37","2","11","1","2","1",""
"14","37","3","7","1","4","1",""
"15","37","5","","","4","1",""
"16","37","6","2","0","3","0",""
"17","228","1","11","1","4","1",""
"18","228","2","10","1","4","1",""
"19","228","3","7","1","2","1",""
"20","228","5","14","1","4","1",""
"21","228","6","14","1","4","1",""
"22","229","1","9","1","4","1",""
"23","229","2","2","0","2","0",""
"24","231","1","7","1","2","1",""
"25","231","2","14","1","5","1",""
"26","231","5","8","1","4","1",""
"27","236","1","13","1","4","1",""
"28","236","2","14","1","4","1",""
"29","236","3","7","1","2","1",""
"30","236","6","8","1","4","1",""
"31","241","1","13","1","4","1",""
"32","241","2","9","1","4","1",""
"33","241","3","7","1","2","1",""
"34","241","4","1","1","1","0",""
"35","241","5","13","1","4","1",""
"36","241","6","8","1","2","1",""
"37","245","1","7","1","2","1",""
"38","245","3","3","0","4","0",""
"39","245","4","2","1","2","0",""
"40","245","6","5","1","2","1",""
"41","302","1","14","1","4","1",""
"42","302","2","8","1","2","1",""
"43","302","3","7","1","4","1",""
"44","302","4","13","1","1","1",""
"45","302","5","7","1","4","1",""
"46","302","6","4","0","1","1",""
"47","304","1","5","0","4","1",""
"48","304","2","9","1","4","1",""
"49","304","4","8","1","2","1",""
"50","304","6","9","1","4","1",""
"51","306","1","7","1","4","1",""
"52","306","2","7","1","2","1",""
"53","306","4","8","1","4","1",""
"54","306","5","8","1","1","1",""
"55","306","6","14","1","4","1",""
"56","307","1","3","1","1","1",""
"57","307","2","14","1","4","1",""
"58","307","3","8","1","5","1",""
"59","307","4","2","0","2","0",""
"60","307","6","10","1","2","1",""
"61","308","2","11","1","4","1",""
"62","308","3","3","1","3","0",""
"63","308","4","2","0","4","0",""
"64","308","5","8","1","1","1",""
"65","309","1","7","1","4","1",""
"66","309","2","8","1","4","1",""
"67","309","3","8","1","4","1",""
"68","309","4","7","1","2","1",""
"69","309","5","8","1","4","1",""
"70","309","6","13","1","2","1",""
"71","516","1","9","1","4","1",""
"72","516","3","11","1","4","1",""
"73","516","4","11","1","2","1",""
"74","516","5","9","1","2","1",""
"75","537","1","2","0","0","0",""
"76","537","2","8","1","1","1",""
"77","537","3","4","1","2","1",""
"78","537","5","2","1","2","0",""
