,CAM,Well,Animal number,Days alive,valid,,
,_035,1,1,,,X,
,_035,2,2,,,X,
,_035,3,3,7,1,,
,_035,4,4,13,1,,
,_035,5,5,,,X,
,_035,6,6,3,0,,
,307,1,7,,,X,
,307,2,8,6,1,,
,307,3,9,,,X,
,307,4,10,,,X,
,307,5,11,6,1,,
,307,6,12,14,1,,
,_034,1,13,,,X,
,_034,2,14,4,1,,
,_034,3,15,7,1,,
,_034,4,16,7,1,,
,_034,5,17,,,X,
,_034,6,18,,,X,
,516,1,19,,,X,
,516,2,20,,,X,
,516,3,21,13,1,,
,516,4,22,3,0,,
,516,5,23,11,1,,
,516,6,24,6,1,,
,_037,1,25,,,X,
,_037,2,26,,,X,
,_037,3,27,3,0,,
,_037,4,28,13,1,,
,_037,5,29,5,1,,
,_037,6,30,,,X,
,302,1,31,,,X,
,302,2,32,,,X,
,302,3,33,6,1,,
,302,4,34,6,1,,
,302,5,35,11,1,,
,302,6,36,,,X,
,537,1,37,,,X,
,537,2,38,6,1,,
,537,3,39,9,1,,
,537,4,40,10,1,,
,537,5,41,8,0,,
,537,6,42,9,1,,
,308,1,43,,,X,
,308,2,44,3,0,,
,308,3,45,6,1,,
,308,4,46,,,X,
,308,5,47,11,1,,
,308,6,48,8,0,,
,306,1,49,,,X,
,306,2,50,6,1,,
,306,3,51,6,1,,
,306,4,52,2,0,,
,306,5,53,3,0,,
,306,6,54,,,X,
,304,1,55,6,1,,
,304,2,56,,,X,
,304,3,57,,,X,
,304,4,58,3,1,,
,304,5,59,,,X,
,304,6,60,3,0,,
,_036,1,61,4,0,,
,_036,2,62,8,1,,
,_036,3,63,13,0,,
,_036,4,64,6,1,,
,_036,5,65,5,0,,
,_036,6,66,12,1,,
,309,1,67,14,1,,
,309,2,68,,,X,
,309,3,69,9,1,,
,309,4,70,3,0,,
,309,5,71,,,X,
,309,6,72,6,1,,
,_040,1,73,13,1,,
,_040,2,74,13,1,,
,_040,3,75,3,0,,
,_040,4,76,11,1,,
,_040,5,77,13,1,,
,_040,6,78,11,1,,
,791,1,79,4,0,,
,791,2,80,,,X,
,791,3,81,2,0,,
,791,4,82,6,1,,
,791,5,83,11,1,,
,791,6,84,11,1,,
,796,1,85,6,1,,
,796,2,86,8,1,,
,796,3,87,9,0,,
,796,4,88,4,0,,
,796,5,89,13,1,,
,796,6,90,3,0,,
,795,1,91,6,1,,
,795,2,92,9,1,,
,795,3,93,6,1,,
,795,4,94,,,X,
,795,5,95,3,0,,
,795,6,96,,,X,
,788,1,97,13,1,,
,788,2,98,,,X,
,788,3,99,6,1,,
,788,4,100,13,1,,
,788,5,101,6,1,,
,788,6,102,,,X,
,787,1,103,5,1,,
,787,2,104,,,X,
,787,3,105,13,1,,
,787,4,106,6,1,,
,787,5,107,6,1,,
,787,6,108,2,0,,
,236,1,109,,,X,
,236,2,110,,,X,
,236,3,111,6,1,,
,236,4,112,,,X,
,236,5,113,3,0,,
,236,6,114,,,X,
,229,1,115,9,1,,
,229,2,116,9,1,,
,229,3,117,3,0,,
,229,4,118,9,0,,
,229,5,119,2,1,,
,229,6,120,,,X,
,231,1,121,8,1,,
,231,2,122,3,1,,
,231,3,123,,,,X
,231,4,124,,,,X
,231,5,125,,,,X
,231,6,126,6,1,,
,228,1,127,,,,X
,228,2,128,6,1,,
,228,3,129,3,0,,
,228,4,130,,,X,
,228,5,131,,,X,
,228,6,132,6,1,,
,241,1,133,4,1,,
,241,2,134,,,X,
,241,3,135,,,X,
,241,4,136,6,1,,
,241,5,137,,,X,
,241,6,138,,,X,
,245,1,139,,,X,
,245,2,140,,,X,
,245,3,141,9,1,,
,245,4,142,,,X,
,245,5,143,3,0,,
,245,6,144,,,X,
,,,AVG,7.0978260869565215,,,
,,,MEDIAN,6,,,
