feature,importance
stage_1_3_frames,0.7404012402607113
early_speed_1s_rows,0.05989927314029825
early_speed_10s_avg_rows,0.051460167258864514
early_speed_av2_rows,0.047651324863009076
early_speed_1s_col3_std,0.004976599009260775
early_speed_av2_col1_mean,0.004516185402885812
early_roam_slope,0.004336389435395615
early_speed_av2_col1_p90,0.004162381350722117
early_speed_av2_col4_std,0.004144164218594479
stage_2_frames,0.004086961956818859
early_speed_av2_col2_std,0.004047189248445292
early_speed_av2_col1_median,0.0038145256384150813
stage_1_frames,0.0035827329241919707
early_speed_av2_col5_mean,0.0034635029503730986
early_speed_10s_avg_col1_median,0.0033014889401837178
early_speed_1s_col1_mean,0.0030000751044742227
early_speed_1s_col1_p90,0.002913104272455904
early_speed_10s_avg_col3_std,0.002871527510254329
early_speed_10s_avg_col1_mean,0.002545631613431254
early_speed_1s_col2_std,0.0023657120977320046
early_speed_1s_col2_p10,0.0022955015040728687
early_speed_av2_col1_p10,0.002254611618076757
early_speed_10s_avg_col1_p90,0.0021255845953264203
early_roam_median,0.002055788930148812
early_speed_av2_col3_mean,0.0019373849026150603
early_speed_10s_avg_col1_p10,0.0018520057245340741
stage_3_frames,0.0018233369645593656
early_roam_p90,0.001761551682605533
early_speed_1s_col1_std,0.0016744237155959262
early_speed_10s_avg_col2_std,0.0016733069774659854
early_roam_std,0.0016155937307613128
early_speed_av2_col5_std,0.0015317390045770977
early_speed_1s_col1_median,0.0012312155429266875
early_speed_10s_avg_col2_p90,0.0010971427072489067
early_speed_av2_col2_mean,0.0010833733164787047
early_speed_av2_col1_std,0.0010654674178419068
early_speed_10s_avg_col3_mean,0.001056529127718771
early_speed_av2_col3_std,0.0010205389919853165
early_speed_10s_avg_col2_p10,0.0008506242180469338
early_speed_av2_col4_mean,0.0008138617854624077
early_speed_av2_col3_p90,0.0008043047592445804
early_speed_av2_col6_mean,0.0007885404107699015
early_speed_av2_col2_p10,0.0007749006131076179
early_speed_10s_avg_col1_std,0.0007455938955766108
early_speed_1s_col2_p90,0.0006561489575156926
early_speed_10s_avg_col2_median,0.0006104284722585914
early_roam_mean,0.0006049072674766385
early_speed_1s_col1_p10,0.0005909682254426673
early_speed_1s_col2_mean,0.0005666597962176564
early_speed_av2_col2_p90,0.0005513575426531136
early_speed_av2_col6_p90,0.0005464803282474006
early_speed_1s_col2_median,0.000537225706241249
early_speed_10s_avg_col2_mean,0.0004959419744640712
early_speed_av2_col4_p10,0.0004915210862899518
early_speed_av2_col2_median,0.0004840579789323555
early_speed_1s_col3_mean,0.00044742687785891095
early_speed_av2_col4_p90,0.00039445801717741583
early_speed_1s_col3_median,0.00031367525125639174
early_speed_av2_col5_p90,0.00025074530627976633
early_speed_av2_col4_median,0.00020544265298748718
early_speed_av2_col6_std,0.00019916393029048408
early_speed_10s_avg_col3_median,0.00016881003838569822
early_speed_10s_avg_col3_p90,0.00014369156112861446
early_speed_1s_col3_p90,0.0001422882777778505
early_speed_av2_col3_p10,9.786874216980142e-05
early_speed_av2_col5_median,2.7632675683100585e-05
early_roam_p10,0.0
early_speed_10s_avg_col3_p10,0.0
early_speed_1s_col3_p10,0.0
early_speed_av2_col3_median,0.0
early_speed_av2_col5_p10,0.0
early_speed_av2_col6_median,0.0
early_speed_av2_col6_p10,0.0
