feature,importance,dataset,run,seed
stage_2_frames,0.029796369811789875,Combined,1,42
stage_3_frames,0.019645125244921673,Combined,1,42
stage_4_frames,0.04457979204613805,Combined,1,42
stage_5_frames,0.025803298859736114,Combined,1,42
roam_mean,0.021717570642492752,Combined,1,42
roam_std,0.01502571335187884,Combined,1,42
roam_median,0.02399030967987768,Combined,1,42
roam_p10,0.0,Combined,1,42
roam_p90,0.01805044978276609,Combined,1,42
roam_early_mean,0.019564399905195623,Combined,1,42
roam_mid_mean,0.02607513345458055,Combined,1,42
roam_late_mean,0.05834893612969278,Combined,1,42
roam_slope,0.020004408120599216,Combined,1,42
speed_1s_rows,0.015295441887230019,Combined,1,42
speed_1s_col1_mean,0.015659485093721507,Combined,1,42
speed_1s_col1_std,0.02825594788763351,Combined,1,42
speed_1s_col1_median,0.01530776048849023,Combined,1,42
speed_1s_col1_p10,0.023703340090732723,Combined,1,42
speed_1s_col1_p90,0.027251834016326887,Combined,1,42
speed_1s_col2_mean,0.012689943905481662,Combined,1,42
speed_1s_col2_std,0.034895065156618575,Combined,1,42
speed_1s_col2_median,0.044157070484151364,Combined,1,42
speed_1s_col2_p10,0.0747432902281897,Combined,1,42
speed_1s_col2_p90,0.015620991210224257,Combined,1,42
speed_1s_col3_mean,0.016999375347829075,Combined,1,42
speed_1s_col3_std,0.026433742801755776,Combined,1,42
speed_1s_col3_median,0.00026199148646161046,Combined,1,42
speed_1s_col3_p10,0.0,Combined,1,42
speed_1s_col3_p90,0.0,Combined,1,42
speed_10s_avg_rows,0.0208820922897774,Combined,1,42
speed_10s_avg_col1_mean,0.014891192977590914,Combined,1,42
speed_10s_avg_col1_std,0.026121311683778868,Combined,1,42
speed_10s_avg_col1_median,0.018091291146651752,Combined,1,42
speed_10s_avg_col1_p10,0.016770675068940574,Combined,1,42
speed_10s_avg_col1_p90,0.02552198627058704,Combined,1,42
speed_10s_avg_col2_mean,0.013811243469576937,Combined,1,42
speed_10s_avg_col2_std,0.06484197839754985,Combined,1,42
speed_10s_avg_col2_median,0.034369900772587905,Combined,1,42
speed_10s_avg_col2_p10,0.011199303469326093,Combined,1,42
speed_10s_avg_col2_p90,0.02868928061719084,Combined,1,42
speed_10s_avg_col3_mean,0.01952838916556627,Combined,1,42
speed_10s_avg_col3_std,0.031143912041433054,Combined,1,42
