feature,importance,dataset,run,seed
stage_2_frames,0.033623755466947396,Combined_shuffled,1,42
stage_3_frames,0.006582289850485221,Combined_shuffled,1,42
stage_4_frames,0.01659794704894737,Combined_shuffled,1,42
stage_5_frames,0.010982244194923208,Combined_shuffled,1,42
roam_mean,0.018658522160827678,Combined_shuffled,1,42
roam_std_over_mean,0.012109112260402425,Combined_shuffled,1,42
roam_early_mean,0.03435156841027366,Combined_shuffled,1,42
roam_mid_mean,0.07121545769350242,Combined_shuffled,1,42
roam_late_mean,0.03179556557235765,Combined_shuffled,1,42
roam_slope,0.016482555620091488,Combined_shuffled,1,42
speed_1s_rows,0.006992503272240071,Combined_shuffled,1,42
speed_1s_stage2_rows,0.00624618633613208,Combined_shuffled,1,42
speed_1s_stage2_col1_mean,0.03279230312747991,Combined_shuffled,1,42
speed_1s_stage2_col1_std_over_mean,0.03317112262057215,Combined_shuffled,1,42
speed_1s_stage2_col2_mean,0.011074704491983105,Combined_shuffled,1,42
speed_1s_stage2_col2_std_over_mean,0.02154957795324803,Combined_shuffled,1,42
speed_1s_stage3_rows,0.01675936671040857,Combined_shuffled,1,42
speed_1s_stage3_col1_mean,0.011212365397430592,Combined_shuffled,1,42
speed_1s_stage3_col1_std_over_mean,0.029803930286025945,Combined_shuffled,1,42
speed_1s_stage3_col2_mean,0.018392619727107824,Combined_shuffled,1,42
speed_1s_stage3_col2_std_over_mean,0.019829093410162327,Combined_shuffled,1,42
speed_1s_stage4_rows,0.011062943139886745,Combined_shuffled,1,42
speed_1s_stage4_col1_mean,0.02044890623919171,Combined_shuffled,1,42
speed_1s_stage4_col1_std_over_mean,0.02550660756008323,Combined_shuffled,1,42
speed_1s_stage4_col2_mean,0.013358107269620974,Combined_shuffled,1,42
speed_1s_stage4_col2_std_over_mean,0.014097230164301769,Combined_shuffled,1,42
speed_1s_stage5_rows,0.0006416226718416277,Combined_shuffled,1,42
speed_1s_stage5_col1_mean,0.014582717995220481,Combined_shuffled,1,42
speed_1s_stage5_col1_std_over_mean,0.022793130759213895,Combined_shuffled,1,42
speed_1s_stage5_col2_mean,0.014229232673595976,Combined_shuffled,1,42
speed_1s_stage5_col2_std_over_mean,0.01146999151662177,Combined_shuffled,1,42
speed_10s_avg_rows,0.009438691196505679,Combined_shuffled,1,42
speed_10s_avg_stage2_rows,0.004888924962226938,Combined_shuffled,1,42
speed_10s_avg_stage2_col1_mean,0.030613476617346754,Combined_shuffled,1,42
speed_10s_avg_stage2_col1_std_over_mean,0.03241011324680584,Combined_shuffled,1,42
speed_10s_avg_stage2_col2_mean,0.009554726127342155,Combined_shuffled,1,42
speed_10s_avg_stage2_col2_std_over_mean,0.019136094340141078,Combined_shuffled,1,42
speed_10s_avg_stage3_rows,0.02259021293963492,Combined_shuffled,1,42
speed_10s_avg_stage3_col1_mean,0.010277847528988814,Combined_shuffled,1,42
speed_10s_avg_stage3_col1_std_over_mean,0.03355634346478327,Combined_shuffled,1,42
speed_10s_avg_stage3_col2_mean,0.018941846097444284,Combined_shuffled,1,42
speed_10s_avg_stage3_col2_std_over_mean,0.053274819016619894,Combined_shuffled,1,42
speed_10s_avg_stage4_rows,0.011040101025454423,Combined_shuffled,1,42
speed_10s_avg_stage4_col1_mean,0.015713705198332584,Combined_shuffled,1,42
speed_10s_avg_stage4_col1_std_over_mean,0.015901913825422918,Combined_shuffled,1,42
speed_10s_avg_stage4_col2_mean,0.010522516854763733,Combined_shuffled,1,42
speed_10s_avg_stage4_col2_std_over_mean,0.030577286155811633,Combined_shuffled,1,42
speed_10s_avg_stage5_rows,0.0009635790457034953,Combined_shuffled,1,42
speed_10s_avg_stage5_col1_mean,0.014195584781988563,Combined_shuffled,1,42
speed_10s_avg_stage5_col1_std_over_mean,0.012994433389054526,Combined_shuffled,1,42
speed_10s_avg_stage5_col2_mean,0.011016935336942549,Combined_shuffled,1,42
speed_10s_avg_stage5_col2_std_over_mean,0.02397756724755861,Combined_shuffled,1,42
stage_2_frames,0.032510278651953495,Combined_shuffled,2,43
stage_3_frames,0.0070884938025431695,Combined_shuffled,2,43
stage_4_frames,0.02014221016161554,Combined_shuffled,2,43
stage_5_frames,0.009673165408811787,Combined_shuffled,2,43
roam_mean,0.01794682248698482,Combined_shuffled,2,43
roam_std_over_mean,0.013600290163854657,Combined_shuffled,2,43
roam_early_mean,0.028731150166567576,Combined_shuffled,2,43
roam_mid_mean,0.07711994143170167,Combined_shuffled,2,43
roam_late_mean,0.02972227354639023,Combined_shuffled,2,43
roam_slope,0.014549513993152742,Combined_shuffled,2,43
speed_1s_rows,0.007084608049954098,Combined_shuffled,2,43
speed_1s_stage2_rows,0.005254754309917239,Combined_shuffled,2,43
speed_1s_stage2_col1_mean,0.03141394526399451,Combined_shuffled,2,43
speed_1s_stage2_col1_std_over_mean,0.03610531256304425,Combined_shuffled,2,43
speed_1s_stage2_col2_mean,0.012492729389777668,Combined_shuffled,2,43
speed_1s_stage2_col2_std_over_mean,0.019280577650529436,Combined_shuffled,2,43
speed_1s_stage3_rows,0.021280666005767286,Combined_shuffled,2,43
speed_1s_stage3_col1_mean,0.013396964345770174,Combined_shuffled,2,43
speed_1s_stage3_col1_std_over_mean,0.023430849041495564,Combined_shuffled,2,43
speed_1s_stage3_col2_mean,0.01764210987752887,Combined_shuffled,2,43
speed_1s_stage3_col2_std_over_mean,0.022406649467140556,Combined_shuffled,2,43
speed_1s_stage4_rows,0.012397211415636772,Combined_shuffled,2,43
speed_1s_stage4_col1_mean,0.0204007685393672,Combined_shuffled,2,43
speed_1s_stage4_col1_std_over_mean,0.023966249279087873,Combined_shuffled,2,43
speed_1s_stage4_col2_mean,0.011292800686011914,Combined_shuffled,2,43
speed_1s_stage4_col2_std_over_mean,0.014825515329059902,Combined_shuffled,2,43
speed_1s_stage5_rows,0.0006741249999568705,Combined_shuffled,2,43
speed_1s_stage5_col1_mean,0.01351140475055925,Combined_shuffled,2,43
speed_1s_stage5_col1_std_over_mean,0.022895468840264933,Combined_shuffled,2,43
speed_1s_stage5_col2_mean,0.009494425579727676,Combined_shuffled,2,43
speed_1s_stage5_col2_std_over_mean,0.007316312549785788,Combined_shuffled,2,43
speed_10s_avg_rows,0.008258164598868686,Combined_shuffled,2,43
speed_10s_avg_stage2_rows,0.0067455358703325825,Combined_shuffled,2,43
speed_10s_avg_stage2_col1_mean,0.028829667546030974,Combined_shuffled,2,43
speed_10s_avg_stage2_col1_std_over_mean,0.036533718541360935,Combined_shuffled,2,43
speed_10s_avg_stage2_col2_mean,0.010631880760533893,Combined_shuffled,2,43
speed_10s_avg_stage2_col2_std_over_mean,0.017004221769337982,Combined_shuffled,2,43
speed_10s_avg_stage3_rows,0.019326893415733973,Combined_shuffled,2,43
speed_10s_avg_stage3_col1_mean,0.008587004384815126,Combined_shuffled,2,43
speed_10s_avg_stage3_col1_std_over_mean,0.03266327215593342,Combined_shuffled,2,43
speed_10s_avg_stage3_col2_mean,0.017641172924060314,Combined_shuffled,2,43
speed_10s_avg_stage3_col2_std_over_mean,0.05748404982142527,Combined_shuffled,2,43
speed_10s_avg_stage4_rows,0.012505828910603617,Combined_shuffled,2,43
speed_10s_avg_stage4_col1_mean,0.02147715522204685,Combined_shuffled,2,43
speed_10s_avg_stage4_col1_std_over_mean,0.0200184188087986,Combined_shuffled,2,43
speed_10s_avg_stage4_col2_mean,0.0077776383504769685,Combined_shuffled,2,43
speed_10s_avg_stage4_col2_std_over_mean,0.033611412691104445,Combined_shuffled,2,43
speed_10s_avg_stage5_rows,0.00033631006490269393,Combined_shuffled,2,43
speed_10s_avg_stage5_col1_mean,0.016959160228753326,Combined_shuffled,2,43
speed_10s_avg_stage5_col1_std_over_mean,0.012953443751072893,Combined_shuffled,2,43
speed_10s_avg_stage5_col2_mean,0.009986413327033318,Combined_shuffled,2,43
speed_10s_avg_stage5_col2_std_over_mean,0.023021049108820652,Combined_shuffled,2,43
stage_2_frames,0.02993303787819514,Combined_shuffled,3,44
stage_3_frames,0.005776029310401897,Combined_shuffled,3,44
stage_4_frames,0.016001370625413954,Combined_shuffled,3,44
stage_5_frames,0.010324535816478813,Combined_shuffled,3,44
roam_mean,0.01398962617489411,Combined_shuffled,3,44
roam_std_over_mean,0.012470242622243966,Combined_shuffled,3,44
roam_early_mean,0.029614600452554877,Combined_shuffled,3,44
roam_mid_mean,0.08524883023037198,Combined_shuffled,3,44
roam_late_mean,0.031932740155117045,Combined_shuffled,3,44
roam_slope,0.018634468887434686,Combined_shuffled,3,44
speed_1s_rows,0.008100929809516854,Combined_shuffled,3,44
speed_1s_stage2_rows,0.007037775302937473,Combined_shuffled,3,44
speed_1s_stage2_col1_mean,0.0244927664075229,Combined_shuffled,3,44
speed_1s_stage2_col1_std_over_mean,0.0297717489769227,Combined_shuffled,3,44
speed_1s_stage2_col2_mean,0.010211534665389214,Combined_shuffled,3,44
speed_1s_stage2_col2_std_over_mean,0.021992452545575032,Combined_shuffled,3,44
speed_1s_stage3_rows,0.015782855885708606,Combined_shuffled,3,44
speed_1s_stage3_col1_mean,0.010508995369052693,Combined_shuffled,3,44
speed_1s_stage3_col1_std_over_mean,0.024104193818332603,Combined_shuffled,3,44
speed_1s_stage3_col2_mean,0.02318573926050172,Combined_shuffled,3,44
speed_1s_stage3_col2_std_over_mean,0.021114980698869513,Combined_shuffled,3,44
