feature,importance,dataset,run,seed
stage_2_frames,0.028434918014867187,SI206,1,42
stage_3_frames,0.040515968816048895,SI206,1,42
stage_4_frames,0.04432257381383375,SI206,1,42
stage_5_frames,0.049336365677071656,SI206,1,42
roam_mean,0.011305343276749867,SI206,1,42
roam_std,0.03629808156089016,SI206,1,42
roam_median,0.0219149250205314,SI206,1,42
roam_p10,0.0,SI206,1,42
roam_p90,0.008204486204337827,SI206,1,42
roam_early_mean,0.01639324327967377,SI206,1,42
roam_mid_mean,0.027922748820876,SI206,1,42
roam_late_mean,0.04365683366153114,SI206,1,42
roam_slope,0.024932438635696875,SI206,1,42
speed_1s_rows,0.023144423032891916,SI206,1,42
speed_1s_col1_mean,0.00944245238640958,SI206,1,42
speed_1s_col1_std,0.029016187460023234,SI206,1,42
speed_1s_col1_median,0.014951839622573368,SI206,1,42
speed_1s_col1_p10,0.017824933591678135,SI206,1,42
speed_1s_col1_p90,0.016179593637074115,SI206,1,42
speed_1s_col2_mean,0.013658812368074275,SI206,1,42
speed_1s_col2_std,0.051141590145760536,SI206,1,42
speed_1s_col2_median,0.025894579611356595,SI206,1,42
speed_1s_col2_p10,0.06959155710379193,SI206,1,42
speed_1s_col2_p90,0.01769066307750561,SI206,1,42
speed_1s_col3_mean,0.02080522168468508,SI206,1,42
speed_1s_col3_std,0.02771023409871086,SI206,1,42
speed_1s_col3_median,0.00014661717366181532,SI206,1,42
speed_1s_col3_p10,0.0,SI206,1,42
speed_1s_col3_p90,0.0,SI206,1,42
speed_10s_avg_rows,0.027749022460511013,SI206,1,42
speed_10s_avg_col1_mean,0.008740812400829603,SI206,1,42
speed_10s_avg_col1_std,0.02607533034955615,SI206,1,42
speed_10s_avg_col1_median,0.014658725978141081,SI206,1,42
speed_10s_avg_col1_p10,0.02152007388449365,SI206,1,42
speed_10s_avg_col1_p90,0.017879604939958608,SI206,1,42
speed_10s_avg_col2_mean,0.010921890635935686,SI206,1,42
speed_10s_avg_col2_std,0.05236661631926444,SI206,1,42
speed_10s_avg_col2_median,0.03461663396627682,SI206,1,42
speed_10s_avg_col2_p10,0.01823069511496762,SI206,1,42
speed_10s_avg_col2_p90,0.02414830874211398,SI206,1,42
speed_10s_avg_col3_mean,0.02482715753661286,SI206,1,42
speed_10s_avg_col3_std,0.027355738714858965,SI206,1,42
speed_10s_avg_col3_median,0.000472757180173807,SI206,1,42
speed_10s_avg_col3_p10,0.0,SI206,1,42
speed_10s_avg_col3_p90,0.0,SI206,1,42
stage_2_frames,0.0356701640139073,SI206,2,43
stage_3_frames,0.046052268894865495,SI206,2,43
stage_4_frames,0.04343365262829999,SI206,2,43
stage_5_frames,0.03987535247267071,SI206,2,43
roam_mean,0.013709508646282913,SI206,2,43
roam_std,0.03603620807134467,SI206,2,43
roam_median,0.01870223519946431,SI206,2,43
roam_p10,0.0,SI206,2,43
roam_p90,0.018448244944609823,SI206,2,43
roam_early_mean,0.02409813616321994,SI206,2,43
roam_mid_mean,0.014313854390984778,SI206,2,43
roam_late_mean,0.056508480373732524,SI206,2,43
roam_slope,0.08019229529479571,SI206,2,43
speed_1s_rows,0.025606043818596515,SI206,2,43
speed_1s_col1_mean,0.014285273199298449,SI206,2,43
speed_1s_col1_std,0.009931494093937199,SI206,2,43
speed_1s_col1_median,0.009978916198773663,SI206,2,43
speed_1s_col1_p10,0.020232879872408772,SI206,2,43
speed_1s_col1_p90,0.018127669113708177,SI206,2,43
speed_1s_col2_mean,0.0044954685020537405,SI206,2,43
speed_1s_col2_std,0.06105797499997453,SI206,2,43
speed_1s_col2_median,0.010351279125582945,SI206,2,43
speed_1s_col2_p10,0.09560312566024569,SI206,2,43
speed_1s_col2_p90,0.015971347769228563,SI206,2,43
speed_1s_col3_mean,0.02541481145965793,SI206,2,43
speed_1s_col3_std,0.017056553163268946,SI206,2,43
speed_1s_col3_median,0.0007348891365136695,SI206,2,43
speed_1s_col3_p10,0.0,SI206,2,43
speed_1s_col3_p90,0.0,SI206,2,43
speed_10s_avg_rows,0.01855177430433924,SI206,2,43
speed_10s_avg_col1_mean,0.007842667971440512,SI206,2,43
speed_10s_avg_col1_std,0.015837961707538668,SI206,2,43
speed_10s_avg_col1_median,0.014814972896597167,SI206,2,43
speed_10s_avg_col1_p10,0.013785813309896472,SI206,2,43
speed_10s_avg_col1_p90,0.02177840940162705,SI206,2,43
speed_10s_avg_col2_mean,0.007965439087076394,SI206,2,43
speed_10s_avg_col2_std,0.03489080340287424,SI206,2,43
speed_10s_avg_col2_median,0.016990424747461808,SI206,2,43
speed_10s_avg_col2_p10,0.013123469030195189,SI206,2,43
speed_10s_avg_col2_p90,0.030211612149160582,SI206,2,43
speed_10s_avg_col3_mean,0.026699049519664127,SI206,2,43
speed_10s_avg_col3_std,0.02089395845897482,SI206,2,43
speed_10s_avg_col3_median,0.0007255168057268263,SI206,2,43
speed_10s_avg_col3_p10,0.0,SI206,2,43
speed_10s_avg_col3_p90,0.0,SI206,2,43
stage_2_frames,0.019798566870345626,SI206,3,44
stage_3_frames,0.07827948164992429,SI206,3,44
stage_4_frames,0.06619331704596164,SI206,3,44
stage_5_frames,0.026978674753486847,SI206,3,44
roam_mean,0.013490634346844207,SI206,3,44
roam_std,0.02898140213685377,SI206,3,44
roam_median,0.025262310941707077,SI206,3,44
roam_p10,0.0,SI206,3,44
roam_p90,0.011285628854455124,SI206,3,44
roam_early_mean,0.011435014598558176,SI206,3,44
roam_mid_mean,0.03299344385111557,SI206,3,44
roam_late_mean,0.022757287944435975,SI206,3,44
roam_slope,0.019575067880490876,SI206,3,44
speed_1s_rows,0.01993476954402583,SI206,3,44
speed_1s_col1_mean,0.01788840352090045,SI206,3,44
speed_1s_col1_std,0.023095725677771992,SI206,3,44
