feature,importance,dataset,run,seed
stage_2_frames,0.05514891856854267,SI206_shuffled,1,42
stage_3_frames,0.014437642583938246,SI206_shuffled,1,42
stage_4_frames,0.009381011337747597,SI206_shuffled,1,42
stage_5_frames,0.0049101343771512235,SI206_shuffled,1,42
roam_mean,0.009369688779046387,SI206_shuffled,1,42
roam_std_over_mean,0.09205577257125815,SI206_shuffled,1,42
roam_early_mean,0.004555906843467585,SI206_shuffled,1,42
roam_mid_mean,0.0987132334891391,SI206_shuffled,1,42
roam_late_mean,0.013813631356311949,SI206_shuffled,1,42
roam_slope,0.04579833948730057,SI206_shuffled,1,42
speed_1s_rows,0.012489003557310072,SI206_shuffled,1,42
speed_1s_stage2_rows,0.0170688529421643,SI206_shuffled,1,42
speed_1s_stage2_col1_mean,0.022062491639807242,SI206_shuffled,1,42
speed_1s_stage2_col1_std_over_mean,0.007771976699074693,SI206_shuffled,1,42
speed_1s_stage2_col2_mean,0.016023348530364464,SI206_shuffled,1,42
speed_1s_stage2_col2_std_over_mean,0.03620940770365745,SI206_shuffled,1,42
speed_1s_stage3_rows,0.011488948775505542,SI206_shuffled,1,42
speed_1s_stage3_col1_mean,0.01780651660355539,SI206_shuffled,1,42
speed_1s_stage3_col1_std_over_mean,0.021364472553090312,SI206_shuffled,1,42
speed_1s_stage3_col2_mean,0.019856403107516078,SI206_shuffled,1,42
speed_1s_stage3_col2_std_over_mean,0.016518580599980907,SI206_shuffled,1,42
speed_1s_stage4_rows,0.005647586655119254,SI206_shuffled,1,42
speed_1s_stage4_col1_mean,0.019565094920573255,SI206_shuffled,1,42
speed_1s_stage4_col1_std_over_mean,0.01488632508496107,SI206_shuffled,1,42
speed_1s_stage4_col2_mean,0.0067357388559289855,SI206_shuffled,1,42
speed_1s_stage4_col2_std_over_mean,0.013578886972381746,SI206_shuffled,1,42
speed_1s_stage5_rows,2.4269953430980167e-05,SI206_shuffled,1,42
speed_1s_stage5_col1_mean,0.01876082419584706,SI206_shuffled,1,42
speed_1s_stage5_col1_std_over_mean,0.01382863898922461,SI206_shuffled,1,42
speed_1s_stage5_col2_mean,0.006683274573175311,SI206_shuffled,1,42
speed_1s_stage5_col2_std_over_mean,0.016554381821289,SI206_shuffled,1,42
speed_10s_avg_rows,0.013281653065961808,SI206_shuffled,1,42
speed_10s_avg_stage2_rows,0.009666432527292256,SI206_shuffled,1,42
speed_10s_avg_stage2_col1_mean,0.02536367853801206,SI206_shuffled,1,42
speed_10s_avg_stage2_col1_std_over_mean,0.010055486167934129,SI206_shuffled,1,42
speed_10s_avg_stage2_col2_mean,0.012187655701685573,SI206_shuffled,1,42
speed_10s_avg_stage2_col2_std_over_mean,0.009387482649944809,SI206_shuffled,1,42
speed_10s_avg_stage3_rows,0.013134076348338066,SI206_shuffled,1,42
speed_10s_avg_stage3_col1_mean,0.013054011821366524,SI206_shuffled,1,42
speed_10s_avg_stage3_col1_std_over_mean,0.021259501830300925,SI206_shuffled,1,42
speed_10s_avg_stage3_col2_mean,0.018494725908551595,SI206_shuffled,1,42
speed_10s_avg_stage3_col2_std_over_mean,0.0193102306758982,SI206_shuffled,1,42
speed_10s_avg_stage4_rows,0.008535338892035541,SI206_shuffled,1,42
speed_10s_avg_stage4_col1_mean,0.017784263223299637,SI206_shuffled,1,42
speed_10s_avg_stage4_col1_std_over_mean,0.043824954992381863,SI206_shuffled,1,42
speed_10s_avg_stage4_col2_mean,0.007059732501936304,SI206_shuffled,1,42
speed_10s_avg_stage4_col2_std_over_mean,0.030051088827956547,SI206_shuffled,1,42
speed_10s_avg_stage5_rows,1.6017544434436108e-05,SI206_shuffled,1,42
speed_10s_avg_stage5_col1_mean,0.02875846169297319,SI206_shuffled,1,42
speed_10s_avg_stage5_col1_std_over_mean,0.018496808201277675,SI206_shuffled,1,42
speed_10s_avg_stage5_col2_mean,0.007921888411065873,SI206_shuffled,1,42
speed_10s_avg_stage5_col2_std_over_mean,0.00924720634949199,SI206_shuffled,1,42
stage_2_frames,0.04394205626078809,SI206_shuffled,2,43
stage_3_frames,0.010758206705450949,SI206_shuffled,2,43
stage_4_frames,0.013034706671923262,SI206_shuffled,2,43
stage_5_frames,0.005665851244845588,SI206_shuffled,2,43
roam_mean,0.00686387820122864,SI206_shuffled,2,43
roam_std_over_mean,0.08520904446252892,SI206_shuffled,2,43
roam_early_mean,0.00997903796769796,SI206_shuffled,2,43
roam_mid_mean,0.07078003403297994,SI206_shuffled,2,43
roam_late_mean,0.014508451750912513,SI206_shuffled,2,43
roam_slope,0.05259655163160592,SI206_shuffled,2,43
speed_1s_rows,0.017849855104785855,SI206_shuffled,2,43
speed_1s_stage2_rows,0.016472316658902798,SI206_shuffled,2,43
speed_1s_stage2_col1_mean,0.023431644038569902,SI206_shuffled,2,43
speed_1s_stage2_col1_std_over_mean,0.009415281317738354,SI206_shuffled,2,43
speed_1s_stage2_col2_mean,0.017852547371105015,SI206_shuffled,2,43
speed_1s_stage2_col2_std_over_mean,0.029268398142483824,SI206_shuffled,2,43
