dataset,feature_space,run,seed,test_mae,test_rmse,test_r2
Combined,regular,1,42,2.344347826086956,2.92667491993158,-0.1367562468640242
Combined,pca10,1,42,2.6655072463768117,3.2784074724712844,-0.42640955566705707
Combined,regular,2,43,2.381159420289855,2.8747010766674923,0.04923740273548849
Combined,pca10,2,43,2.707826086956522,3.2795859583141,-0.23744168479048877
Combined,regular,3,44,2.8769565217391304,3.692962428401424,-0.7234799145299149
Combined,pca10,3,44,3.1311594202898543,3.986976685633795,-1.008833028083028
Combined,regular,4,45,2.322608695652174,2.8786285650390773,-0.16460142874011074
Combined,pca10,4,45,2.3223188405797095,3.118963038380322,-0.3671825717321995
Combined,regular,5,46,2.646231884057971,3.3663310924736134,0.06565993176780238
Combined,pca10,5,46,2.9876811594202906,3.8512131848508573,-0.22288730430867298
Combined,regular,6,47,1.9055072463768117,2.6531652776142995,-0.14156415968390212
Combined,pca10,6,47,2.0589855072463767,2.7649810650084157,-0.23981257919476784
Combined,regular,7,48,2.423188405797101,3.144261700703692,-0.18056340606972676
Combined,pca10,7,48,2.4642028985507247,3.0193702353897387,-0.0886409957361427
Combined,regular,8,49,2.7195652173913047,3.3170125811893025,0.054522281784708415
Combined,pca10,8,49,2.9257971014492754,3.5867264689804577,-0.10548683849541551
Combined,regular,9,50,2.2643478260869565,2.9500239907318924,-0.07112549506230281
Combined,pca10,9,50,2.381594202898551,3.0202758456099468,-0.1227484902538647
Combined,regular,10,51,2.036376811594203,2.4534496073580585,-0.014745226966928815
Combined,pca10,10,51,2.2207246376811596,2.586476442280778,-0.12776805112952339
Combined,regular,11,52,3.020289855072464,3.7206462739223376,0.02098163101604278
Combined,pca10,11,52,3.230579710144928,3.9436709522613755,-0.09990561051693403
Combined,regular,12,53,2.7040579710144934,3.120744368035937,-0.21451084918015573
Combined,pca10,12,53,2.698550724637681,3.120639102138711,-0.21442891717743162
Combined,regular,13,54,2.2846376811594196,2.7207612958481873,0.05911947781515303
Combined,pca10,13,54,2.6072463768115943,3.210795497920819,-0.3103245768594156
Combined,regular,14,55,2.092028985507247,2.5831481934592877,-0.089455024005487
Combined,pca10,14,55,2.2505797101449274,2.834659280533549,-0.3119352229080936
Combined,regular,15,56,2.420434782608696,3.1434509022536403,-0.46748989643770655
Combined,pca10,15,56,2.2384057971014495,2.86608428529846,-0.21994337450870316
Combined,regular,16,57,2.884202898550725,3.560580816214157,-0.05714410641726242
Combined,pca10,16,57,3.0017391304347822,3.69232053292701,-0.13681890850497447
Combined,regular,17,58,2.574347826086957,3.048324716115267,-0.19253226858590722
Combined,pca10,17,58,2.9752173913043483,3.56812289112687,-0.6339068440347184
Combined,regular,18,59,3.081594202898551,3.765019198519098,-0.11158768158908994
Combined,pca10,18,59,3.327971014492754,4.041280169776407,-0.28069954376255923
Combined,regular,19,60,2.736376811594203,3.2790739678995533,-0.34978179876601767
Combined,pca10,19,60,2.9411594202898548,3.435800295636751,-0.4818934082159996
Combined,regular,20,61,2.263478260869565,3.003004453675064,-0.4223437421321141
Combined,pca10,20,61,2.6855072463768117,3.269460059723257,-0.6859499834360299
Combined,regular,21,62,2.8166666666666664,3.437770384623049,-0.29599135572139335
Combined,pca10,21,62,2.830144927536231,3.5159866778531144,-0.35563512990602564
Combined,regular,22,63,2.853623188405798,3.210151169555877,-0.2748789315040019
Combined,pca10,22,63,3.0456521739130435,3.467144406880719,-0.48717417887953474
Combined,regular,23,64,2.6801449275362317,3.221980442369955,-0.4451664649122804
Combined,pca10,23,64,2.6291304347826085,3.1184280847578902,-0.3537658099415204
Combined,regular,24,65,2.487971014492753,3.1861778019293348,-0.08446377894453394
Combined,pca10,24,65,2.5598550724637676,3.1408892091499485,-0.05385356982588374
Combined,regular,25,66,1.9375362318840583,2.6437874493413207,0.02543363497920692
Combined,pca10,25,66,2.192753623188406,3.0396721473351405,-0.28828465413225546
Combined,regular,26,67,2.9004347826086954,3.810182708287281,-0.2556823759174478
Combined,pca10,26,67,2.681884057971015,3.594624206840793,-0.11762262371920662
Combined,regular,27,68,2.2756521739130435,3.0576254561263205,-0.07889612662400602
Combined,pca10,27,68,2.398840579710145,3.1453731067516184,-0.14170893930579753
