dataset,feature_space,run,seed,test_mae,test_rmse,test_r2
SI216,regular,1,42,1.967878787878788,2.4290630857899664,0.32773818790541964
SI216,pca10,1,42,2.4575757575757566,2.868892018557236,0.06224528143963193
SI216,regular,2,43,2.842424242424242,3.2530970480513495,-0.7735449984610647
SI216,pca10,2,43,3.042121212121212,3.3652872961841735,-0.8979836411203446
SI216,regular,3,44,2.5906060606060604,3.0851038323799824,-0.44318514341409054
SI216,pca10,3,44,2.1993939393939392,2.602267465038127,-0.02680114174324677
SI216,regular,4,45,2.982424242424243,3.5214098416298087,-0.14015167173252285
SI216,pca10,4,45,2.888181818181818,3.3934519536330794,-0.05879745862884156
SI216,regular,5,46,2.119090909090909,2.5236959829070957,0.24445685185185195
SI216,pca10,5,46,2.1896969696969695,2.5494289318959016,0.22897045751633993
SI216,regular,6,47,2.6633333333333336,3.187589095605681,-0.10960977737665445
SI216,pca10,6,47,2.3778787878787875,2.705399576529661,0.2007025170477339
SI216,regular,7,48,2.2036363636363636,2.5155239227764477,0.1473595397178914
SI216,pca10,7,48,2.1633333333333336,2.7459073310487137,-0.015969772333580545
SI216,regular,8,49,2.485151515151515,2.774078607612286,-0.6393608568075115
SI216,pca10,8,49,2.586060606060606,2.9575027002899295,-0.8633195226917065
SI216,regular,9,50,1.7257575757575758,2.135394600772911,0.3800571660424472
SI216,pca10,9,50,2.033333333333333,2.3752635154181876,0.23295832709113629
SI216,regular,10,51,2.2036363636363636,2.7189213547532654,-0.2527962651727358
SI216,pca10,10,51,1.9196969696969697,2.4472749223278014,-0.014968767507002934
SI216,regular,11,52,2.9151515151515155,3.2787069390110473,0.0024998295841854867
SI216,pca10,11,52,2.790909090909091,3.210371135598317,0.04364691547375599
SI216,regular,12,53,1.3457575757575755,1.4625379214629517,0.4196836821126061
SI216,pca10,12,53,1.1854545454545455,1.5058384690761142,0.38481280518186345
SI216,regular,13,54,2.1551515151515157,2.432361781969088,0.24003986789337117
SI216,pca10,13,54,2.277272727272727,2.4943902718465747,0.2007856451993395
SI216,regular,14,55,1.6490909090909092,2.2673501643276825,-1.0462042397660825
SI216,pca10,14,55,2.20939393939394,2.9102783719122476,-2.3711715277777783
SI216,regular,15,56,2.070909090909091,2.475439762992026,-0.15134168391994485
