pc,explained_variance_ratio,feature,loading,abs_loading
PC1,0.3669641035805827,stage_2_frames,0.027150362858966787,0.027150362858966787
PC1,0.3669641035805827,stage_3_frames,-0.0838792807757216,0.0838792807757216
PC1,0.3669641035805827,stage_4_frames,-0.11000435730607927,0.11000435730607927
PC1,0.3669641035805827,stage_5_frames,-0.09999734143094496,0.09999734143094496
PC1,0.3669641035805827,roam_mean,-0.18351955129477593,0.18351955129477593
PC1,0.3669641035805827,roam_std_over_mean,0.17993259863872546,0.17993259863872546
PC1,0.3669641035805827,roam_early_mean,-0.13501098917616372,0.13501098917616372
PC1,0.3669641035805827,roam_mid_mean,-0.13211756037843148,0.13211756037843148
PC1,0.3669641035805827,roam_late_mean,-0.1562963770256348,0.1562963770256348
PC1,0.3669641035805827,roam_slope,0.01798781069832639,0.01798781069832639
PC1,0.3669641035805827,speed_1s_rows,-0.03389110688940723,0.03389110688940723
PC1,0.3669641035805827,speed_1s_stage2_rows,-0.08387928077572154,0.08387928077572154
PC1,0.3669641035805827,speed_1s_stage2_col1_mean,0.08569196936131067,0.08569196936131067
PC1,0.3669641035805827,speed_1s_stage2_col1_std_over_mean,0.02059588468721474,0.02059588468721474
PC1,0.3669641035805827,speed_1s_stage2_col2_mean,0.1989142532890975,0.1989142532890975
PC1,0.3669641035805827,speed_1s_stage2_col2_std_over_mean,-0.19966320495092782,0.19966320495092782
PC1,0.3669641035805827,speed_1s_stage3_rows,-0.11000435730607948,0.11000435730607948
PC1,0.3669641035805827,speed_1s_stage3_col1_mean,0.13456729275702922,0.13456729275702922
PC1,0.3669641035805827,speed_1s_stage3_col1_std_over_mean,-0.07608308293923133,0.07608308293923133
PC1,0.3669641035805827,speed_1s_stage3_col2_mean,0.20562727059979535,0.20562727059979535
PC1,0.3669641035805827,speed_1s_stage3_col2_std_over_mean,-0.2000524113251648,0.2000524113251648
PC1,0.3669641035805827,speed_1s_stage4_rows,-0.09999734143094499,0.09999734143094499
PC1,0.3669641035805827,speed_1s_stage4_col1_mean,0.11483870890089055,0.11483870890089055
PC1,0.3669641035805827,speed_1s_stage4_col1_std_over_mean,-0.1832787169262316,0.1832787169262316
PC1,0.3669641035805827,speed_1s_stage4_col2_mean,0.208614401918787,0.208614401918787
PC1,0.3669641035805827,speed_1s_stage4_col2_std_over_mean,-0.20608049423155825,0.20608049423155825
PC1,0.3669641035805827,speed_1s_stage5_rows,0.015294944361312818,0.015294944361312818
PC1,0.3669641035805827,speed_1s_stage5_col1_mean,-0.018313319757591432,0.018313319757591432
PC1,0.3669641035805827,speed_1s_stage5_col1_std_over_mean,-0.032149585447455525,0.032149585447455525
PC1,0.3669641035805827,speed_1s_stage5_col2_mean,0.199671461579251,0.199671461579251
PC1,0.3669641035805827,speed_1s_stage5_col2_std_over_mean,-0.19641987452661577,0.19641987452661577
PC1,0.3669641035805827,speed_10s_avg_rows,-0.03389110688940723,0.03389110688940723
PC1,0.3669641035805827,speed_10s_avg_stage2_rows,-0.08387928077572153,0.08387928077572153
PC1,0.3669641035805827,speed_10s_avg_stage2_col1_mean,0.08569119551231398,0.08569119551231398
PC1,0.3669641035805827,speed_10s_avg_stage2_col1_std_over_mean,-0.13587322431441298,0.13587322431441298
PC1,0.3669641035805827,speed_10s_avg_stage2_col2_mean,0.19891753578207796,0.19891753578207796
PC1,0.3669641035805827,speed_10s_avg_stage2_col2_std_over_mean,-0.1698984519131541,0.1698984519131541
PC1,0.3669641035805827,speed_10s_avg_stage3_rows,-0.11000435730607948,0.11000435730607948
PC1,0.3669641035805827,speed_10s_avg_stage3_col1_mean,0.13456550287300575,0.13456550287300575
PC1,0.3669641035805827,speed_10s_avg_stage3_col1_std_over_mean,-0.14925911962959493,0.14925911962959493
PC1,0.3669641035805827,speed_10s_avg_stage3_col2_mean,0.20562957324454514,0.20562957324454514
PC1,0.3669641035805827,speed_10s_avg_stage3_col2_std_over_mean,-0.1507959807146297,0.1507959807146297
PC1,0.3669641035805827,speed_10s_avg_stage4_rows,-0.09999734143094499,0.09999734143094499
PC1,0.3669641035805827,speed_10s_avg_stage4_col1_mean,0.1148380058361545,0.1148380058361545
PC1,0.3669641035805827,speed_10s_avg_stage4_col1_std_over_mean,-0.16188464689448948,0.16188464689448948
PC1,0.3669641035805827,speed_10s_avg_stage4_col2_mean,0.20861206245975356,0.20861206245975356
PC1,0.3669641035805827,speed_10s_avg_stage4_col2_std_over_mean,-0.16997844555961913,0.16997844555961913
PC1,0.3669641035805827,speed_10s_avg_stage5_rows,0.015294944361312818,0.015294944361312818
PC1,0.3669641035805827,speed_10s_avg_stage5_col1_mean,-0.018298228444576573,0.018298228444576573
PC1,0.3669641035805827,speed_10s_avg_stage5_col1_std_over_mean,-0.06643219823642356,0.06643219823642356
PC1,0.3669641035805827,speed_10s_avg_stage5_col2_mean,0.19967157207659536,0.19967157207659536
PC1,0.3669641035805827,speed_10s_avg_stage5_col2_std_over_mean,-0.1433252407161946,0.1433252407161946
PC2,0.14905677174637985,stage_2_frames,0.1809986049684257,0.1809986049684257
PC2,0.14905677174637985,stage_3_frames,0.2883860052483642,0.2883860052483642
PC2,0.14905677174637985,stage_4_frames,0.2624969435550296,0.2624969435550296
PC2,0.14905677174637985,stage_5_frames,0.27704523332008535,0.27704523332008535
PC2,0.14905677174637985,roam_mean,-0.016660624411953096,0.016660624411953096
PC2,0.14905677174637985,roam_std_over_mean,0.06750129465963853,0.06750129465963853
PC2,0.14905677174637985,roam_early_mean,0.01385768926726547,0.01385768926726547
PC2,0.14905677174637985,roam_mid_mean,-0.0129373927686831,0.0129373927686831
PC2,0.14905677174637985,roam_late_mean,-0.056250301463379844,0.056250301463379844
PC2,0.14905677174637985,roam_slope,-0.05473044095009758,0.05473044095009758
PC2,0.14905677174637985,speed_1s_rows,0.24186146551390675,0.24186146551390675
PC2,0.14905677174637985,speed_1s_stage2_rows,0.2883860052483641,0.2883860052483641
PC2,0.14905677174637985,speed_1s_stage2_col1_mean,0.062462630475856915,0.062462630475856915
PC2,0.14905677174637985,speed_1s_stage2_col1_std_over_mean,0.033976252670569494,0.033976252670569494
PC2,0.14905677174637985,speed_1s_stage2_col2_mean,0.06381666870154097,0.06381666870154097
PC2,0.14905677174637985,speed_1s_stage2_col2_std_over_mean,-0.07764914450740257,0.07764914450740257
PC2,0.14905677174637985,speed_1s_stage3_rows,0.26249694355502956,0.26249694355502956
PC2,0.14905677174637985,speed_1s_stage3_col1_mean,-0.0007414738630774901,0.0007414738630774901
PC2,0.14905677174637985,speed_1s_stage3_col1_std_over_mean,-0.0298459540144613,0.0298459540144613
PC2,0.14905677174637985,speed_1s_stage3_col2_mean,0.08458606496311243,0.08458606496311243
PC2,0.14905677174637985,speed_1s_stage3_col2_std_over_mean,-0.10337871406056744,0.10337871406056744
PC2,0.14905677174637985,speed_1s_stage4_rows,0.2770452333200856,0.2770452333200856
PC2,0.14905677174637985,speed_1s_stage4_col1_mean,0.03045074096298398,0.03045074096298398
PC2,0.14905677174637985,speed_1s_stage4_col1_std_over_mean,0.04161012490533298,0.04161012490533298
PC2,0.14905677174637985,speed_1s_stage4_col2_mean,0.07830433559324387,0.07830433559324387
PC2,0.14905677174637985,speed_1s_stage4_col2_std_over_mean,-0.09444976883636517,0.09444976883636517
PC2,0.14905677174637985,speed_1s_stage5_rows,-0.04219309958906717,0.04219309958906717
PC2,0.14905677174637985,speed_1s_stage5_col1_mean,-0.07849526642554391,0.07849526642554391
PC2,0.14905677174637985,speed_1s_stage5_col1_std_over_mean,0.05639547940798338,0.05639547940798338
PC2,0.14905677174637985,speed_1s_stage5_col2_mean,0.07085452075875398,0.07085452075875398
PC2,0.14905677174637985,speed_1s_stage5_col2_std_over_mean,-0.09671475022993696,0.09671475022993696
PC2,0.14905677174637985,speed_10s_avg_rows,0.24186146551390675,0.24186146551390675
PC2,0.14905677174637985,speed_10s_avg_stage2_rows,0.28838600524836405,0.28838600524836405
PC2,0.14905677174637985,speed_10s_avg_stage2_col1_mean,0.06246189739384143,0.06246189739384143
PC2,0.14905677174637985,speed_10s_avg_stage2_col1_std_over_mean,0.04615178320024933,0.04615178320024933
PC2,0.14905677174637985,speed_10s_avg_stage2_col2_mean,0.06380182443806708,0.06380182443806708
PC2,0.14905677174637985,speed_10s_avg_stage2_col2_std_over_mean,-0.056207890829553214,0.056207890829553214
PC2,0.14905677174637985,speed_10s_avg_stage3_rows,0.2624969435550295,0.2624969435550295
PC2,0.14905677174637985,speed_10s_avg_stage3_col1_mean,-0.0007381380841853431,0.0007381380841853431
PC2,0.14905677174637985,speed_10s_avg_stage3_col1_std_over_mean,0.005867566743091622,0.005867566743091622
PC2,0.14905677174637985,speed_10s_avg_stage3_col2_mean,0.08458737056642004,0.08458737056642004
PC2,0.14905677174637985,speed_10s_avg_stage3_col2_std_over_mean,-0.10043678922694786,0.10043678922694786
PC2,0.14905677174637985,speed_10s_avg_stage4_rows,0.2770452333200856,0.2770452333200856
PC2,0.14905677174637985,speed_10s_avg_stage4_col1_mean,0.030440951366779153,0.030440951366779153
PC2,0.14905677174637985,speed_10s_avg_stage4_col1_std_over_mean,0.09529855351040223,0.09529855351040223
PC2,0.14905677174637985,speed_10s_avg_stage4_col2_mean,0.07832040981512192,0.07832040981512192
PC2,0.14905677174637985,speed_10s_avg_stage4_col2_std_over_mean,-0.056740122055111704,0.056740122055111704
PC2,0.14905677174637985,speed_10s_avg_stage5_rows,-0.04219309958906717,0.04219309958906717
PC2,0.14905677174637985,speed_10s_avg_stage5_col1_mean,-0.07849291910858698,0.07849291910858698
PC2,0.14905677174637985,speed_10s_avg_stage5_col1_std_over_mean,0.05147157781270292,0.05147157781270292
PC2,0.14905677174637985,speed_10s_avg_stage5_col2_mean,0.07084317762845385,0.07084317762845385
PC2,0.14905677174637985,speed_10s_avg_stage5_col2_std_over_mean,-0.09903560383367539,0.09903560383367539
PC3,0.10260696706963128,stage_2_frames,0.12075166509902678,0.12075166509902678
PC3,0.10260696706963128,stage_3_frames,-0.0470568536850593,0.0470568536850593
PC3,0.10260696706963128,stage_4_frames,-0.05883193423568556,0.05883193423568556
PC3,0.10260696706963128,stage_5_frames,0.04949342062392231,0.04949342062392231
PC3,0.10260696706963128,roam_mean,0.1809588757778302,0.1809588757778302
PC3,0.10260696706963128,roam_std_over_mean,-0.18745790880521773,0.18745790880521773
PC3,0.10260696706963128,roam_early_mean,0.11454521400756268,0.11454521400756268
PC3,0.10260696706963128,roam_mid_mean,0.128848248770933,0.128848248770933
PC3,0.10260696706963128,roam_late_mean,0.1859756805811839,0.1859756805811839
PC3,0.10260696706963128,roam_slope,0.024713021445495666,0.024713021445495666
PC3,0.10260696706963128,speed_1s_rows,0.2083511319019537,0.2083511319019537
PC3,0.10260696706963128,speed_1s_stage2_rows,-0.047056853685059324,0.047056853685059324
PC3,0.10260696706963128,speed_1s_stage2_col1_mean,0.24092518367054963,0.24092518367054963
PC3,0.10260696706963128,speed_1s_stage2_col1_std_over_mean,0.07972016886618015,0.07972016886618015
PC3,0.10260696706963128,speed_1s_stage2_col2_mean,-0.02878928833741804,0.02878928833741804
PC3,0.10260696706963128,speed_1s_stage2_col2_std_over_mean,0.018972697813247345,0.018972697813247345
PC3,0.10260696706963128,speed_1s_stage3_rows,-0.05883193423568556,0.05883193423568556
PC3,0.10260696706963128,speed_1s_stage3_col1_mean,0.21498184548862032,0.21498184548862032
PC3,0.10260696706963128,speed_1s_stage3_col1_std_over_mean,-0.0378595708416331,0.0378595708416331
PC3,0.10260696706963128,speed_1s_stage3_col2_mean,0.013411794488755062,0.013411794488755062
PC3,0.10260696706963128,speed_1s_stage3_col2_std_over_mean,-0.03280317603679174,0.03280317603679174
PC3,0.10260696706963128,speed_1s_stage4_rows,0.049493420623922334,0.049493420623922334
PC3,0.10260696706963128,speed_1s_stage4_col1_mean,0.25202169331727103,0.25202169331727103
PC3,0.10260696706963128,speed_1s_stage4_col1_std_over_mean,-0.08906433694692134,0.08906433694692134
PC3,0.10260696706963128,speed_1s_stage4_col2_mean,0.013000879402191856,0.013000879402191856
PC3,0.10260696706963128,speed_1s_stage4_col2_std_over_mean,-0.025539548237231015,0.025539548237231015
PC3,0.10260696706963128,speed_1s_stage5_rows,0.2747122416416434,0.2747122416416434
PC3,0.10260696706963128,speed_1s_stage5_col1_mean,0.320844860138183,0.320844860138183
PC3,0.10260696706963128,speed_1s_stage5_col1_std_over_mean,-0.015891100971449464,0.015891100971449464
PC3,0.10260696706963128,speed_1s_stage5_col2_mean,-0.08098023359549868,0.08098023359549868
PC3,0.10260696706963128,speed_1s_stage5_col2_std_over_mean,0.05603207125725616,0.05603207125725616
PC3,0.10260696706963128,speed_10s_avg_rows,0.20835113190195362,0.20835113190195362
PC3,0.10260696706963128,speed_10s_avg_stage2_rows,-0.047056853685059324,0.047056853685059324
PC3,0.10260696706963128,speed_10s_avg_stage2_col1_mean,0.24092605435678383,0.24092605435678383
PC3,0.10260696706963128,speed_10s_avg_stage2_col1_std_over_mean,0.061876405877138635,0.061876405877138635
PC3,0.10260696706963128,speed_10s_avg_stage2_col2_mean,-0.02878181343924325,0.02878181343924325
PC3,0.10260696706963128,speed_10s_avg_stage2_col2_std_over_mean,0.06242903779125495,0.06242903779125495
