pc,explained_variance_ratio,feature,loading,abs_loading
PC1,0.3998294552703611,stage_2_frames,-0.07339825083546374,0.07339825083546374
PC1,0.3998294552703611,stage_3_frames,0.02630542769584776,0.02630542769584776
PC1,0.3998294552703611,stage_4_frames,0.09358272258530898,0.09358272258530898
PC1,0.3998294552703611,stage_5_frames,0.055944096452064745,0.055944096452064745
PC1,0.3998294552703611,roam_mean,0.18165648845533955,0.18165648845533955
PC1,0.3998294552703611,roam_std_over_mean,-0.18066362943132247,0.18066362943132247
PC1,0.3998294552703611,roam_early_mean,0.13671338598539842,0.13671338598539842
PC1,0.3998294552703611,roam_mid_mean,0.1306633289668553,0.1306633289668553
PC1,0.3998294552703611,roam_late_mean,0.16566501514843654,0.16566501514843654
PC1,0.3998294552703611,roam_slope,0.006703125854660396,0.006703125854660396
PC1,0.3998294552703611,speed_1s_rows,-0.01611290125022387,0.01611290125022387
PC1,0.3998294552703611,speed_1s_stage2_rows,0.02630542769584755,0.02630542769584755
PC1,0.3998294552703611,speed_1s_stage2_col1_mean,-0.10270049114926934,0.10270049114926934
PC1,0.3998294552703611,speed_1s_stage2_col1_std_over_mean,-0.032001168882665215,0.032001168882665215
PC1,0.3998294552703611,speed_1s_stage2_col2_mean,-0.20068759202044656,0.20068759202044656
PC1,0.3998294552703611,speed_1s_stage2_col2_std_over_mean,0.20047882579238105,0.20047882579238105
PC1,0.3998294552703611,speed_1s_stage3_rows,0.09358272258530909,0.09358272258530909
PC1,0.3998294552703611,speed_1s_stage3_col1_mean,-0.14102438462838102,0.14102438462838102
PC1,0.3998294552703611,speed_1s_stage3_col1_std_over_mean,0.07105137170210489,0.07105137170210489
PC1,0.3998294552703611,speed_1s_stage3_col2_mean,-0.20584305340588366,0.20584305340588366
PC1,0.3998294552703611,speed_1s_stage3_col2_std_over_mean,0.20604242757095917,0.20604242757095917
PC1,0.3998294552703611,speed_1s_stage4_rows,0.05594409645206475,0.05594409645206475
PC1,0.3998294552703611,speed_1s_stage4_col1_mean,-0.13554512544551822,0.13554512544551822
PC1,0.3998294552703611,speed_1s_stage4_col1_std_over_mean,0.18087512376062373,0.18087512376062373
PC1,0.3998294552703611,speed_1s_stage4_col2_mean,-0.2086505635264424,0.2086505635264424
PC1,0.3998294552703611,speed_1s_stage4_col2_std_over_mean,0.20919235373317274,0.20919235373317274
PC1,0.3998294552703611,speed_1s_stage5_rows,0.017294609160648528,0.017294609160648528
PC1,0.3998294552703611,speed_1s_stage5_col1_mean,0.04698519941582971,0.04698519941582971
PC1,0.3998294552703611,speed_1s_stage5_col1_std_over_mean,0.055723842396587765,0.055723842396587765
PC1,0.3998294552703611,speed_1s_stage5_col2_mean,-0.20404869898025693,0.20404869898025693
PC1,0.3998294552703611,speed_1s_stage5_col2_std_over_mean,0.20445311851514525,0.20445311851514525
PC1,0.3998294552703611,speed_10s_avg_rows,-0.01611290125022387,0.01611290125022387
PC1,0.3998294552703611,speed_10s_avg_stage2_rows,0.02630542769584755,0.02630542769584755
PC1,0.3998294552703611,speed_10s_avg_stage2_col1_mean,-0.10269917372481235,0.10269917372481235
PC1,0.3998294552703611,speed_10s_avg_stage2_col1_std_over_mean,0.11409665846808194,0.11409665846808194
PC1,0.3998294552703611,speed_10s_avg_stage2_col2_mean,-0.20069113487422607,0.20069113487422607
PC1,0.3998294552703611,speed_10s_avg_stage2_col2_std_over_mean,0.17145916434462039,0.17145916434462039
PC1,0.3998294552703611,speed_10s_avg_stage3_rows,0.09358272258530909,0.09358272258530909
PC1,0.3998294552703611,speed_10s_avg_stage3_col1_mean,-0.14102404138084268,0.14102404138084268
PC1,0.3998294552703611,speed_10s_avg_stage3_col1_std_over_mean,0.13474392566326152,0.13474392566326152
PC1,0.3998294552703611,speed_10s_avg_stage3_col2_mean,-0.20584483912451862,0.20584483912451862
PC1,0.3998294552703611,speed_10s_avg_stage3_col2_std_over_mean,0.1591411107193379,0.1591411107193379
PC1,0.3998294552703611,speed_10s_avg_stage4_rows,0.05594409645206475,0.05594409645206475
