feature,mean_abs_shap
speed_1s_stage5_col1_std_over_mean,0.4034046049057855
speed_1s_stage5_col2_std_over_mean,0.12533919978694938
speed_1s_stage4_col2_std_over_mean,0.11479631796096941
roam_late_mean,0.11278885924618824
roam_std_over_mean,0.09494697311337781
stage_2_frames,0.09120676579605716
speed_1s_stage3_col2_std_over_mean,0.08492513256680764
speed_1s_stage3_col1_std_over_mean,0.0772192257035731
speed_10s_avg_stage3_col1_mean,0.06077731811124795
speed_10s_avg_stage4_col1_std_over_mean,0.05803053017936746
roam_early_mean,0.0539557139111385
speed_10s_avg_stage2_col2_std_over_mean,0.05377689643164903
speed_10s_avg_stage5_col1_std_over_mean,0.052864005968261504
speed_1s_stage2_col1_std_over_mean,0.052593017075175504
speed_10s_avg_stage2_col1_mean,0.05046934173375006
speed_1s_stage4_col1_std_over_mean,0.05032681450619345
speed_1s_stage3_col1_mean,0.04713348652165984
speed_1s_stage5_col1_mean,0.04504235829116103
roam_mean,0.0434429588811534
speed_1s_stage2_col1_mean,0.0430714798888185
speed_10s_avg_stage5_col2_std_over_mean,0.04291489181258453
roam_mid_mean,0.041709869579298085
speed_10s_avg_stage3_col1_std_over_mean,0.04150573716371943
speed_10s_avg_stage2_col1_std_over_mean,0.03686674479536839
speed_10s_avg_stage4_col2_std_over_mean,0.0365687268537556
speed_10s_avg_stage5_col1_mean,0.034079126065742836
speed_10s_avg_stage3_col2_mean,0.03346093665092616
speed_1s_stage3_col2_mean,0.030106481613173537
speed_1s_stage2_col2_std_over_mean,0.02883968856651584
speed_1s_stage5_col2_mean,0.02858837210957265
roam_slope,0.028251389804255733
speed_10s_avg_stage4_col2_mean,0.02735453314825201
speed_1s_rows,0.025035368096599304
speed_10s_avg_stage5_col2_mean,0.02470819697617005
speed_10s_avg_rows,0.024273361885698966
speed_10s_avg_stage3_col2_std_over_mean,0.023194242588689195
speed_10s_avg_stage3_rows,0.022426422526486346
speed_1s_stage3_rows,0.022286542422812933
stage_4_frames,0.022071523500974133
speed_1s_stage4_col2_mean,0.021795210695877358
speed_1s_stage4_col1_mean,0.01965293114204374
speed_10s_avg_stage4_col1_mean,0.01922383079877556
speed_1s_stage4_rows,0.019123678134333345
stage_5_frames,0.017946050940657387
speed_10s_avg_stage4_rows,0.017482352449764475
speed_10s_avg_stage2_col2_mean,0.01666639406040051
speed_1s_stage2_rows,0.0156209232724598
speed_1s_stage2_col2_mean,0.015355138779181357
speed_10s_avg_stage2_rows,0.014478248893320033
stage_3_frames,0.011804246044376996
speed_1s_stage5_rows,0.0005714073055931556
speed_10s_avg_stage5_rows,0.00038453391056012833
